nomination_label,nomination_url,polling_label,polling_url
1. Aarhus Syd,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b,Beder Skole,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/a5c24019-7221-4e76-8c04-ad1a5a842397
1. Aarhus Syd,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b,Folkehuset Ankersgade,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/d9aba151-512e-4910-ab5a-be4a3caf6e62
1. Aarhus Syd,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b,Frederiksbjerghallerne,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/80a0dd55-eb1b-4338-bf2d-6ec7eb196973
1. Aarhus Syd,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b,"Kragelundskolen, Højbjerg",https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/cc43a4ee-253b-464c-9fa3-62317050c28b
1. Aarhus Syd,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b,Malling Skole,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/f662d167-f9da-4be4-b62f-ec2a9c9cbd7f
1. Aarhus Syd,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b,Mårslet Hallen,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/206c9be0-97e5-4744-b3e4-5f97b88fe9e2
1. Aarhus Syd,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b,"Rundhøjhallen, Holme",https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/54ed2506-c390-4a48-957a-b6efc25091af
1. Aarhus Syd,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b,Skåde Skole,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/76645219-2ee6-473f-ab8d-de585660bc3a
1. Aarhus Syd,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b,Solbjergskolen,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/31566320-70a8-435f-94b2-e9ece0440dca
1. Aarhus Syd,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b,Tranbjerg Skole,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/a958e4eb-b66f-4b29-8170-a6ae6b44706b/polling-district/a2541955-7c1e-4615-9efd-45a5245faa19
1. Frederikshavn,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/dffbbbde-119e-4941-8039-b474d5449501,Dybvad,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/dffbbbde-119e-4941-8039-b474d5449501/polling-district/c86889bb-f3d2-482c-9b40-104945af5989
1. Frederikshavn,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/dffbbbde-119e-4941-8039-b474d5449501,Elling,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/dffbbbde-119e-4941-8039-b474d5449501/polling-district/d150801d-d24d-48e3-a5c1-3ba01d851323
1. Frederikshavn,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/dffbbbde-119e-4941-8039-b474d5449501,Frederikshavn,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/dffbbbde-119e-4941-8039-b474d5449501/polling-district/ab000311-6e4f-416a-8102-7be2c6ef40ff
1. Frederikshavn,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/dffbbbde-119e-4941-8039-b474d5449501,Gærum,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/dffbbbde-119e-4941-8039-b474d5449501/polling-district/4f54a5be-e4f9-40b4-bc98-6f2036c0f72c
1. Frederikshavn,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/dffbbbde-119e-4941-8039-b474d5449501,Hørby,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/dffbbbde-119e-4941-8039-b474d5449501/polling-district/a0c76274-cbdf-4942-b0e6-d8141973c465
1. Frederikshavn,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/dffbbbde-119e-4941-8039-b474d5449501,Jerup,https://valg.dk/fv/47b883ef-d0d3-4cb6-9da5-91963f0e9ba0/nomination-district/dffbbbde-119e-4941-8039-b474d5449501/polling-district/50a8e113-6eab-41a5-aab6-22782e74b747
