candidate_name,party_name,storkreds,list_type,is_alphabetical,list_position,raw_position,opstillet_i_kreds,prioriteret_i_kreds,personal_votes,total_votes,valgt_token,elected_marker,valgt_nr,stedfortraeder_nr,is_elected,beat_someone_above,n_above,n_above_beaten
Martin Lidegaard,Radikale Venstre,Nordsjællands Storkreds,prioriteret_sideordnet,False,4,Alle,Alle,6,9328,9328,1K,K,1,,True,1,3,3
Zenia Stampe,Radikale Venstre,Sjællands Storkreds,prioriteret_sideordnet,False,8,Alle,Alle,"7,8",4242,4242,1T,T,1,,True,1,7,7
Anastasia Milthers,Radikale Venstre,Fyns Storkreds,prioriteret_sideordnet,False,4,Alle,Alle,"1,5",2393,2393,1T,T,1,,True,1,3,3
Katrine Robsøe,Radikale Venstre,Østjyllands Storkreds,prioriteret_sideordnet,False,7,Alle,Alle,4,6406,6406,1K,K,1,,True,1,6,6
Philip Vivet,Radikale Venstre,Vestjyllands Storkreds,prioriteret_sideordnet,False,7,Alle,Alle,"8,11",1443,1443,1T,T,1,,True,1,6,6
Steffen Holme Helledie,Radikale Venstre,Nordjyllands Storkreds,prioriteret_sideordnet,False,3,Alle,Alle,9,1124,1124,1T,T,1,,True,1,2,2
Helle Bonnesen,Det Konservative Folkeparti,Københavns Storkreds,prioriteret_sideordnet,False,4,Alle,Alle,1,2852,2852,2K,K,2,,True,1,3,3
Anders Storgaard,Det Konservative Folkeparti,Københavns Storkreds,prioriteret_sideordnet,False,11,Alle,Alle,10,3099,3099,1K,K,1,,True,1,10,10
Christian Vigilius,Det Konservative Folkeparti,Københavns Omegns Storkreds,prioriteret_sideordnet,False,7,Alle,Alle,1,4295,4295,1K,K,1,,True,1,6,6
Marcus Knuth,Det Konservative Folkeparti,Sjællands Storkreds,prioriteret_sideordnet,False,7,Alle,Alle,2,4394,4394,1K,K,1,,True,1,6,6
Rune Kristensen,Det Konservative Folkeparti,Sjællands Storkreds,prioriteret_sideordnet,False,8,Alle,Alle,11,1880,1880,1T,T,1,,True,1,7,6
Mai Mercado,Det Konservative Folkeparti,Fyns Storkreds,prioriteret_sideordnet,False,7,Alle,Alle,3,6146,6146,1K,K,1,,True,1,6,6
Frederik Bloch Münster,Det Konservative Folkeparti,Sydjyllands Storkreds,prioriteret_sideordnet,False,7,Alle,Alle,4,2081,2081,1K,K,1,,True,1,6,6
Mona Juul,Det Konservative Folkeparti,Østjyllands Storkreds,prioriteret_sideordnet,False,4,Alle,Alle,4,21594,21594,1K,K,1,,True,1,3,3
Lise Bertelsen,Det Konservative Folkeparti,Vestjyllands Storkreds,prioriteret_sideordnet,False,2,Alle,Alle,4,6290,6290,1K,K,1,,True,1,1,1
Sofie Therese Svendsen,Det Konservative Folkeparti,Nordjyllands Storkreds,prioriteret_sideordnet,False,7,Alle,Alle,9,2488,2488,1K,K,1,,True,1,6,6
Lisbeth Bech-Nielsen,SF - Socialistisk Folkeparti,Københavns Storkreds,prioriteret_sideordnet,False,2,Alle,Alle,Alle,5494,5494,1K,K,1,,True,1,1,1
Nanna Bonde,SF - Socialistisk Folkeparti,Københavns Storkreds,prioriteret_sideordnet,False,4,Alle,Alle,,4166,4166,2K,K,2,,True,1,3,2
Carl Valentin,SF - Socialistisk Folkeparti,Københavns Storkreds,prioriteret_sideordnet,False,10,Alle,Alle,,3271,3271,3K,K,3,,True,1,9,7
Sofie F. Villadsen,SF - Socialistisk Folkeparti,Københavns Omegns Storkreds,prioriteret_sideordnet,False,8,Alle,Alle,5,3349,3349,2K,K,2,,True,1,7,6
Jacob Mark,SF - Socialistisk Folkeparti,Nordsjællands Storkreds,prioriteret_sideordnet,False,3,Alle,Alle,Alle,12139,12139,1K,K,1,,True,1,2,2
Anne Valentina Berthelsen,SF - Socialistisk Folkeparti,Sjællands Storkreds,prioriteret_sideordnet,False,2,Alle,Alle,,1782,1782,3K,K,3,,True,1,1,1
Astrid Carøe,SF - Socialistisk Folkeparti,Sjællands Storkreds,prioriteret_sideordnet,False,3,Alle,Alle,,1895,1895,2K,K,2,,True,1,2,2
Pia Olsen Dyhr,SF - Socialistisk Folkeparti,Sjællands Storkreds,prioriteret_sideordnet,False,4,Alle,Alle,Alle,29344,29344,1K,K,1,,True,1,3,3
Karsten Hønge,SF - Socialistisk Folkeparti,Fyns Storkreds,prioriteret_sideordnet,False,5,Alle,Alle,,5373,5373,1K,K,1,,True,1,4,4
Lise Müller,SF - Socialistisk Folkeparti,Fyns Storkreds,prioriteret_sideordnet,False,6,Alle,Alle,Alle,4732,4732,2K,K,2,,True,1,5,4
Karina Lorentzen Dehnhardt,SF - Socialistisk Folkeparti,Sydjyllands Storkreds,prioriteret_sideordnet,False,3,Alle,Alle,"1,2,8,9,10,11,12,13",8246,8246,1K,K,1,,True,1,2,2
Jørgen Kvist,SF - Socialistisk Folkeparti,Sydjyllands Storkreds,prioriteret_sideordnet,False,7,Alle,Alle,"3,4,5,6,7",1197,1197,2K,K,2,,True,1,6,5
Kirsten Normann Andersen,SF - Socialistisk Folkeparti,Østjyllands Storkreds,prioriteret_sideordnet,False,2,Alle,Alle,Alle,9526,9526,1K,K,1,,True,1,1,1
Sofie Lippert,SF - Socialistisk Folkeparti,Østjyllands Storkreds,prioriteret_sideordnet,False,5,Alle,Alle,,4516,4516,2K,K,2,,True,1,4,3
Charlotte Broman Mølbæk,SF - Socialistisk Folkeparti,Østjyllands Storkreds,prioriteret_sideordnet,False,7,Alle,Alle,,4356,4356,3K,K,3,,True,1,6,4
Signe Munk,SF - Socialistisk Folkeparti,Vestjyllands Storkreds,prioriteret_sideordnet,False,5,Alle,Alle,Alle,13806,13806,1K,K,1,,True,1,4,4
Theresa Berg Andersen,SF - Socialistisk Folkeparti,Nordjyllands Storkreds,prioriteret_sideordnet,False,2,Alle,Alle,5,4623,4623,1K,K,1,,True,1,1,1
Christina Lykke,SF - Socialistisk Folkeparti,Nordjyllands Storkreds,prioriteret_sideordnet,False,8,Alle,Alle,1,3260,3260,1T,T,1,,True,1,7,6
Emilie Schytte,Borgernes Parti - Lars Boje Mathiesen,Nordsjællands Storkreds,prioriteret_sideordnet,False,3,Alle,Alle,3,533,533,1T,T,1,,True,1,2,2
Jacob Harris,Borgernes Parti - Lars Boje Mathiesen,Sjællands Storkreds,prioriteret_sideordnet,False,2,Alle,Alle,"3,4,7,8,9,10,11,12",2307,2307,1T,T,1,,True,1,1,1
Nadja Natalie Isaksen,Borgernes Parti - Lars Boje Mathiesen,Sydjyllands Storkreds,prioriteret_sideordnet,False,4,Alle,Alle,"1,13",1301,1301,1T,T,1,,True,1,3,3
Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,prioriteret_sideordnet,False,2,Alle,Alle,Alle,8408,8408,1T,T,1,,True,1,1,1
Ole Birk Olesen,Liberal Alliance,Københavns Storkreds,prioriteret_sideordnet,False,5,Alle,Alle,"1,3,5,6,7,8,10,11",2886,2886,1T,T,1,,True,1,4,4
Mads Strange,Liberal Alliance,Københavns Storkreds,prioriteret_sideordnet,False,9,Alle,Alle,"2,4,9,12",4488,4488,1K,K,1,,True,1,8,8
Freja Brandhøj,Liberal Alliance,Københavns Omegns Storkreds,prioriteret_sideordnet,False,2,Alle,Alle,"1,2,3",1566,1566,1K,K,1,,True,1,1,1
Steffen W. Frølund,Liberal Alliance,Nordsjællands Storkreds,prioriteret_sideordnet,False,4,Alle,Alle,"2,5,6",1868,1868,1K,K,1,,True,1,3,3
