candidate_name,party_name,storkreds,list_type,is_alphabetical,list_position,raw_position,opstillet_i_kreds,prioriteret_i_kreds,personal_votes,total_votes,valgt_token,elected_marker,valgt_nr,stedfortraeder_nr,is_elected,beat_someone_above,n_above,n_above_beaten
Ibrahim Benli,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,partiliste,False,1,4,4,,2740,5230,1K,K,1,,True,0,0,0
Sinem Dybvad Demir,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,partiliste,False,1,3,3,,1318,3346,1T,T,1,,True,0,0,0
Eva Flyvholm,Enhedslisten - De Rød-Grønne,Sjællands Storkreds,partiliste,False,1,"10, 11","10,11",,2822,5514,1K,K,1,,True,0,0,0
Victoria Velásquez,Enhedslisten - De Rød-Grønne,Fyns Storkreds,partiliste,False,1,1,1,,4973,7756,1K,K,1,,True,0,0,0
Rasmus Vestergaard Madsen,Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds,partiliste,False,1,"7, 9","7,9",,856,2458,1T,T,1,,True,0,0,0
Trine Mach,Enhedslisten - De Rød-Grønne,Østjyllands Storkreds,partiliste,False,1,"1, 4","1,4",,3397,10455,1K,K,1,,True,0,0,0
Lisbeth Torfing,Enhedslisten - De Rød-Grønne,Vestjyllands Storkreds,partiliste,False,1,"3, 6","3,6",,644,2521,1T,T,1,,True,0,0,0
Peder Hvelplund,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds,partiliste,False,1,7,7,,2296,4400,1T,T,1,,True,0,0,0
Franciska Rosenkilde,Alternativet,Københavns Storkreds,prioriteret_sideordnet,False,13,Alle,Alle,Alle,11385,11385,1K,K,1,,True,1,12,12
Signe Wenneberg,Alternativet,Københavns Omegns Storkreds,prioriteret_sideordnet,False,6,Alle,Alle,Alle,3349,3349,1T,T,1,,True,1,5,5
Elise Sydendal,Alternativet,Sjællands Storkreds,prioriteret_sideordnet,False,11,Alle,Alle,,1298,1298,1T,T,1,,True,1,10,10
Torsten Gejl,Alternativet,Østjyllands Storkreds,prioriteret_sideordnet,False,4,Alle,Alle,Alle,3316,3316,1T,T,1,,True,1,3,3
Anna Bjerre,Alternativet,Nordjyllands Storkreds,prioriteret_sideordnet,False,1,Alle,Alle,Alle,1194,1194,1T,T,1,,True,0,0,0
