row_type,party_name,party_order,party_votes,party_percentage,opstillingsform,nomination_label,polling_label,polling_url,election_id,nomination_district_id,polling_district_id,label,votes,percentage
party,Socialdemokratiet,0,1718,"+198 +3,7%",Prioriteret sideordnet med valg på personlige stemmer,Aabenraakredsen,Aabenraa Midt,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa/polling-district/af8dc050-1974-40aa-9fc0-01a0831dae84,987875fe-0dae-42ac-be5b-62cf0bd5d65e,60dd49b8-262c-4a88-9b06-3eee46af1bfa,af8dc050-1974-40aa-9fc0-01a0831dae84,,,
party_list_votes,Socialdemokratiet,0,,,,Aabenraakredsen,Aabenraa Midt,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa/polling-district/af8dc050-1974-40aa-9fc0-01a0831dae84,987875fe-0dae-42ac-be5b-62cf0bd5d65e,60dd49b8-262c-4a88-9b06-3eee46af1bfa,af8dc050-1974-40aa-9fc0-01a0831dae84,Partistemmer,808,
party,Radikale Venstre,1,182,"-242 -4,2%",Prioriteret sideordnet med valg på personlige stemmer,Aabenraakredsen,Aabenraa Midt,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa/polling-district/af8dc050-1974-40aa-9fc0-01a0831dae84,987875fe-0dae-42ac-be5b-62cf0bd5d65e,60dd49b8-262c-4a88-9b06-3eee46af1bfa,af8dc050-1974-40aa-9fc0-01a0831dae84,,,
party_list_votes,Radikale Venstre,1,,,,Aabenraakredsen,Aabenraa Midt,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa/polling-district/af8dc050-1974-40aa-9fc0-01a0831dae84,987875fe-0dae-42ac-be5b-62cf0bd5d65e,60dd49b8-262c-4a88-9b06-3eee46af1bfa,af8dc050-1974-40aa-9fc0-01a0831dae84,Partistemmer,77,
party,Det Konservative Folkeparti,2,283,"-15 -0,2%",Prioriteret sideordnet med valg på personlige stemmer,Aabenraakredsen,Aabenraa Midt,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa/polling-district/af8dc050-1974-40aa-9fc0-01a0831dae84,987875fe-0dae-42ac-be5b-62cf0bd5d65e,60dd49b8-262c-4a88-9b06-3eee46af1bfa,af8dc050-1974-40aa-9fc0-01a0831dae84,,,
party_list_votes,Det Konservative Folkeparti,2,,,,Aabenraakredsen,Aabenraa Midt,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa/polling-district/af8dc050-1974-40aa-9fc0-01a0831dae84,987875fe-0dae-42ac-be5b-62cf0bd5d65e,60dd49b8-262c-4a88-9b06-3eee46af1bfa,af8dc050-1974-40aa-9fc0-01a0831dae84,Partistemmer,133,
party,Nye Borgerlige,3,314,"+82 +1,5%",Prioriteret sideordnet med valg på personlige stemmer,Aabenraakredsen,Aabenraa Midt,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa/polling-district/af8dc050-1974-40aa-9fc0-01a0831dae84,987875fe-0dae-42ac-be5b-62cf0bd5d65e,60dd49b8-262c-4a88-9b06-3eee46af1bfa,af8dc050-1974-40aa-9fc0-01a0831dae84,,,
party_list_votes,Nye Borgerlige,3,,,,Aabenraakredsen,Aabenraa Midt,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa/polling-district/af8dc050-1974-40aa-9fc0-01a0831dae84,987875fe-0dae-42ac-be5b-62cf0bd5d65e,60dd49b8-262c-4a88-9b06-3eee46af1bfa,af8dc050-1974-40aa-9fc0-01a0831dae84,Partistemmer,88,
party,SF - Socialistisk Folkeparti,4,370,"+48 +0,9%",Prioriteret sideordnet med valg på personlige stemmer,Aabenraakredsen,Aabenraa Midt,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa/polling-district/af8dc050-1974-40aa-9fc0-01a0831dae84,987875fe-0dae-42ac-be5b-62cf0bd5d65e,60dd49b8-262c-4a88-9b06-3eee46af1bfa,af8dc050-1974-40aa-9fc0-01a0831dae84,,,
party_list_votes,SF - Socialistisk Folkeparti,4,,,,Aabenraakredsen,Aabenraa Midt,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa/polling-district/af8dc050-1974-40aa-9fc0-01a0831dae84,987875fe-0dae-42ac-be5b-62cf0bd5d65e,60dd49b8-262c-4a88-9b06-3eee46af1bfa,af8dc050-1974-40aa-9fc0-01a0831dae84,Partistemmer,210,
