nomination_label,nomination_url,polling_label,polling_url
Aabenraakredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa,Aabenraa Midt,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa/polling-district/af8dc050-1974-40aa-9fc0-01a0831dae84
Aabenraakredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa,Aabenraa Nord,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa/polling-district/f1616c48-2c13-49f6-8d7b-bfb3ca0d5d0a
Aabenraakredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa,Aabenraa Syd,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa/polling-district/b49dd38b-5c8b-42fc-b209-151f5660f7aa
Aabenraakredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa,Bolderslev,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa/polling-district/82287fff-523f-4ee8-9dca-e211503293a3
Aabenraakredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa,Bylderup,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa/polling-district/db63d524-734f-496d-9fd7-36cc0fd937a4
Aabenraakredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa,Ensted,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa/polling-district/91df0c86-248b-4527-b90d-7989874bd1af
Aabenraakredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa,Felsted,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa/polling-district/891c89f7-cc97-43a5-a05f-2af6e8c541f2
Aabenraakredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa,Hellevad,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa/polling-district/5b8a03b2-c822-47e0-96cb-eeee7de7758c
Aabenraakredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa,Hjordkær,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa/polling-district/7d475edc-90d5-4762-88f7-bc657b6abab3
Aabenraakredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa,Hovslund,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa/polling-district/ac7f7423-97a5-4b89-8d87-202f57080126
Aabenraakredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa,Kliplev,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa/polling-district/3479a386-732a-4f2b-b504-788ced83bc69
Aabenraakredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa,Kruså,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa/polling-district/e199de68-63a1-45e8-a84b-65cf0e6bc6c8
Aabenraakredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa,Løjt,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa/polling-district/721dd195-0452-46ea-a6d1-da2a6966bf68
Aabenraakredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa,Padborg,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa/polling-district/6e3d7e24-5ff8-4585-bb31-e6bc01c7a628
Aabenraakredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa,Ravsted,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa/polling-district/b565687f-c18b-4fee-8966-647663001ad7
Aabenraakredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa,Rødekro,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa/polling-district/e3205271-dab5-4d09-8fe5-c0101ebd2e8d
Aabenraakredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa,Tinglev,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa/polling-district/ec429b1c-a56d-47ab-a91e-a55281d1d134
Aabenraakredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa,Varnæs,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/60dd49b8-262c-4a88-9b06-3eee46af1bfa/polling-district/47c982d0-7a26-4c2e-bcb9-e5a746f20f24
Aakirkebykredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/7cd5e0f1-d646-42a8-84da-45fcbf44780e,Aakirkeby,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/7cd5e0f1-d646-42a8-84da-45fcbf44780e/polling-district/7d0c4fd5-06c7-4a0e-8ba7-8d5b77867a7d
Aakirkebykredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/7cd5e0f1-d646-42a8-84da-45fcbf44780e,Allinge,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/7cd5e0f1-d646-42a8-84da-45fcbf44780e/polling-district/7fe55e74-4607-42a2-9ce2-d1c373c872e4
Aakirkebykredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/7cd5e0f1-d646-42a8-84da-45fcbf44780e,Christiansø,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/7cd5e0f1-d646-42a8-84da-45fcbf44780e/polling-district/562e19a7-bdb4-4a41-9b01-95de5efe561b
Aakirkebykredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/7cd5e0f1-d646-42a8-84da-45fcbf44780e,Nexø,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/7cd5e0f1-d646-42a8-84da-45fcbf44780e/polling-district/32ffccd3-b978-4040-9837-2250b9f37749
Aakirkebykredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/7cd5e0f1-d646-42a8-84da-45fcbf44780e,Pedersker,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/7cd5e0f1-d646-42a8-84da-45fcbf44780e/polling-district/e8809fbe-fb02-4dec-b1cd-a67da87ef773
Aakirkebykredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/7cd5e0f1-d646-42a8-84da-45fcbf44780e,Svaneke,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/7cd5e0f1-d646-42a8-84da-45fcbf44780e/polling-district/29575f7b-3b4a-4836-9050-e104fac33157
Aakirkebykredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/7cd5e0f1-d646-42a8-84da-45fcbf44780e,Østermarie,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/7cd5e0f1-d646-42a8-84da-45fcbf44780e/polling-district/152c68c8-1f5d-4a2b-9da2-33f77c6bd94b
Aalborg Nordkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/6ee0a433-c27c-49dd-a3eb-35d5bd9080ec,Aalborghallen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/6ee0a433-c27c-49dd-a3eb-35d5bd9080ec/polling-district/481e9130-a11b-49e8-bf8b-8ad35b30f568
Aalborg Nordkredsen,https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/6ee0a433-c27c-49dd-a3eb-35d5bd9080ec,"Gl. Lindholm Skole, Kulturhus",https://valg.dk/fv/987875fe-0dae-42ac-be5b-62cf0bd5d65e/nomination-district/6ee0a433-c27c-49dd-a3eb-35d5bd9080ec/polling-district/224fd760-3582-4d0f-9d57-2bb753a672a0
