candidate_name,party_name_results,storkreds,landsdel,opstillet_i_kreds,prioriteret_i_kreds,total_votes,personal_votes,valgt_token,valgt_nr,stedfortraeder_nr,elected_marker,is_elected
Benny Engelbrecht,Socialdemokratiet,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,1,7275,7275,2K,2,,K,True
Kim Eskesen,Socialdemokratiet,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,340,340,,,6,,False
Theis Kylling Hommeltoft,Socialdemokratiet,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,2,2197,2197,,,3,,False
Anders Kronborg,Socialdemokratiet,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,"4,5",5728,5728,5K,5,,K,True
Bjørn Laursen,Socialdemokratiet,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,64,64,,,8,,False
Christian Rabjerg Madsen,Socialdemokratiet,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,"11,12",7844,7844,1K,1,,K,True
Anne Catherine Hoxcer Nielsen,Socialdemokratiet,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,6,1789,1789,,,4,,False
Lars Rømer Olsen,Socialdemokratiet,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,3,599,599,,,5,,False
Jesper Petersen,Socialdemokratiet,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,13,6188,6188,4K,4,,K,True
Maria Radoor,Socialdemokratiet,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,10,2763,2763,,,2,,False
Kris Jensen Skriver,Socialdemokratiet,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,7,3295,3295,,,1,,False
Birgitte Vind,Socialdemokratiet,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,"8,9",6220,6220,3K,3,,K,True
Camilla Fabricius,Socialdemokratiet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,2,5876,5876,3K,3,,K,True
Pia Halkjær,Socialdemokratiet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,7,590,590,,,2,,False
Dorthe Hindborg,Socialdemokratiet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,9,1664,1664,,,1,,False
Leif Lahn Jensen,Socialdemokratiet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,5,6837,6837,2K,2,,K,True
Anders Kühnau,Socialdemokratiet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,4,4043,4043,1T,1,,T,True
Malte Larsen,Socialdemokratiet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,6,4365,4365,5K,5,,K,True
Thomas Monberg,Socialdemokratiet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,10,4652,4652,4K,4,,K,True
Louise Stenmann,Socialdemokratiet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,11,364,364,,,4,,False
Erik Særkjær,Socialdemokratiet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,8,527,527,,,3,,False
Mathias Thybo,Socialdemokratiet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,325,325,,,5,,False
Nicolai Wammen,Socialdemokratiet,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,"1,3",19203,19203,1K,1,,K,True
Anders Andreasen,Socialdemokratiet,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,1,1329,1329,,,3,,False
Vinnie Borbjerg,Socialdemokratiet,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,,838,838,,,4,,False
Lars Fibæk,Socialdemokratiet,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,,136,136,,,7,,False
Katrine Evelyn Jensen,Socialdemokratiet,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,"3,4",4721,4721,3K,3,,K,True
Mogens Jensen,Socialdemokratiet,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,"8,9",7010,7010,1K,1,,K,True
Lise Jørgensen,Socialdemokratiet,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,,305,305,,,5,,False
Kasper B.G. Lauritsen,Socialdemokratiet,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,10,1810,1810,,,2,,False
Eva Borchorst Mejnertz,Socialdemokratiet,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,"5,6",4131,4131,,,1,,False
Anne Paulin,Socialdemokratiet,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,2,6742,6742,2K,2,,K,True
Peter Kempf Pedersen,Socialdemokratiet,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,7,113,113,,,8,,False
Per Kamp Stefansen,Socialdemokratiet,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,11,193,193,,,6,,False
Kiki Bille Bach,Socialdemokratiet,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,9,2543,2543,,,2,,False
Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,7,41721,41721,1K,1,,K,True
Ane Halsboe-Jørgensen,Socialdemokratiet,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,3,6864,6864,3K,3,,K,True
Per Husted,Socialdemokratiet,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,6,2846,2846,,,1,,False
Thomas Klimek,Socialdemokratiet,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,2,4116,4116,5K,5,,K,True
Simon Kollerup,Socialdemokratiet,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,4,9050,9050,2K,2,,K,True
Peder Key Kristiansen,Socialdemokratiet,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,1,1770,1770,,,3,,False
Flemming Møller Mortensen,Socialdemokratiet,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,5,5824,5824,4K,4,,K,True
Morten Ryom,Socialdemokratiet,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,8,1389,1389,,,4,,False
