candidate_name,party_name_results,storkreds,landsdel,opstillet_i_kreds,prioriteret_i_kreds,total_votes,personal_votes,valgt_token,valgt_nr,stedfortraeder_nr,elected_marker,is_elected
Tobias Bennedsen,Det Konservative Folkeparti,Fyns Storkreds,Sjælland-Syddanmark,Alle,5,339,339,,,6,,False
Anne Fiber,Det Konservative Folkeparti,Fyns Storkreds,Sjælland-Syddanmark,Alle,8,470,470,,,3,,False
Joachim Hoffmann-Petersen,Det Konservative Folkeparti,Fyns Storkreds,Sjælland-Syddanmark,Alle,1,2226,2226,,,1,,False
John Hoppe,Det Konservative Folkeparti,Fyns Storkreds,Sjælland-Syddanmark,Alle,2,445,445,,,5,,False
Natasja Bruun Knudsen,Det Konservative Folkeparti,Fyns Storkreds,Sjælland-Syddanmark,Alle,4,446,446,,,4,,False
Klavs Norup Lauridsen,Det Konservative Folkeparti,Fyns Storkreds,Sjælland-Syddanmark,Alle,6,1802,1802,,,2,,False
Mai Mercado,Det Konservative Folkeparti,Fyns Storkreds,Sjælland-Syddanmark,Alle,3,6146,6146,1K,1,,K,True
Johan Emil Sevelsted,Det Konservative Folkeparti,Fyns Storkreds,Sjælland-Syddanmark,Alle,7,296,296,,,7,,False
Dan Arnløv,Det Konservative Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,8,747,747,,,4,,False
Gitte Eriksen,Det Konservative Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,9,719,719,,,5,,False
Christina Foldager,Det Konservative Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,11,1555,1555,,,1,,False
Morten Trillingsgaard Høybye,Det Konservative Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,12,313,313,,,7,,False
Cecilie C. Johannsen,Det Konservative Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,2,309,309,,,8,,False
Rasmus Elkjær Larsen,Det Konservative Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,1,1120,1120,,,2,,False
Frederik Bloch Münster,Det Konservative Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,4,2081,2081,1K,1,,K,True
Gunver Birgitte Nielsen,Det Konservative Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,3,227,227,,,9,,False
Rasmus Sandvej,Det Konservative Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,7,474,474,,,6,,False
Jens Langer Schou,Det Konservative Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,10,144,144,,,11,,False
Christian Tarbensen,Det Konservative Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,5,40,40,,,12,,False
Kristian Thomsen,Det Konservative Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,6,212,212,,,10,,False
Jannie Boysen Westergaard,Det Konservative Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,13,954,954,,,3,,False
Charlotte Green,Det Konservative Folkeparti,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,8,1425,1425,2K,2,,K,True
Michael Faust Horsbøl,Det Konservative Folkeparti,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,9,266,266,,,8,,False
Bjørn Jensen,Det Konservative Folkeparti,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,5,509,509,,,2,,False
Mona Juul,Det Konservative Folkeparti,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,4,21594,21594,1K,1,,K,True
Anders Krojgaard Lund,Det Konservative Folkeparti,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,2,418,418,,,4,,False
Bia Ndamukunda,Det Konservative Folkeparti,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,6,106,106,,,9,,False
Viktor Thyregod Sivertsen,Det Konservative Folkeparti,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,10,270,270,,,7,,False
Jacob Skjærris,Det Konservative Folkeparti,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,11,350,350,,,6,,False
Peter Sporleder,Det Konservative Folkeparti,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,1,1136,1136,,,1,,False
Caroline Svejsø,Det Konservative Folkeparti,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,3,367,367,,,5,,False
Morten Sørensen,Det Konservative Folkeparti,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,7,495,495,,,3,,False
Dina Andersen-Raabjerg,Det Konservative Folkeparti,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,7,3389,3389,,,1,,False
Lise Bertelsen,Det Konservative Folkeparti,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,4,6290,6290,1K,1,,K,True
Michael Grove,Det Konservative Folkeparti,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,3,411,411,,,5,,False
Simon Højer,Det Konservative Folkeparti,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,1,255,255,,,8,,False
Marianne Karlsmose,Det Konservative Folkeparti,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,6,2875,2875,,,2,,False
Siff Tang Lassen,Det Konservative Folkeparti,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,8,295,295,,,7,,False
Gorm Hoff Lauridsen,Det Konservative Folkeparti,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,9,560,560,,,4,,False
Jørgen Christian Pedersen,Det Konservative Folkeparti,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,2,204,204,,,10,,False
Lennart Qvist,Det Konservative Folkeparti,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,11,643,643,,,3,,False
Lau Sørensen,Det Konservative Folkeparti,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,10,227,227,,,9,,False
Nicklas Verne,Det Konservative Folkeparti,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,5,352,352,,,6,,False
Lene Burchardt,Det Konservative Folkeparti,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,7,1202,1202,,,4,,False
René Flou,Det Konservative Folkeparti,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,8,222,222,,,7,,False
Laura Holm,Det Konservative Folkeparti,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,5,1787,1787,,,2,,False
Søren Homann,Det Konservative Folkeparti,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,2,1234,1234,,,3,,False
Per Larsen,Det Konservative Folkeparti,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,1,2367,2367,,,1,,False
Dorthe Pedersen,Det Konservative Folkeparti,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,4,435,435,,,5,,False
Sofie Therese Svendsen,Det Konservative Folkeparti,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,9,2488,2488,1K,1,,K,True
Stine Thier-Andersen,Det Konservative Folkeparti,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,6,284,284,,,6,,False
Gabriel Aaen,Det Konservative Folkeparti,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,3,48,48,,,8,,False
Sadek Al-Amood,SF - Socialistisk Folkeparti,Københavns Storkreds,Hovedstaden,Alle,,1560,1560,,,2,,False
Lisbeth Bech-Nielsen,SF - Socialistisk Folkeparti,Københavns Storkreds,Hovedstaden,Alle,Alle,5494,5494,1K,1,,K,True
Morten Bering,SF - Socialistisk Folkeparti,Københavns Storkreds,Hovedstaden,Alle,,69,69,,,8,,False
Nanna Bonde,SF - Socialistisk Folkeparti,Københavns Storkreds,Hovedstaden,Alle,,4166,4166,2K,2,,K,True
Mikkel Sammy Christensen,SF - Socialistisk Folkeparti,Københavns Storkreds,Hovedstaden,Alle,,624,624,,,6,,False
Cecilie Louise Balbay Holdt,SF - Socialistisk Folkeparti,Københavns Storkreds,Hovedstaden,Alle,,903,903,,,4,,False
Kasper Nordborg Kiær,SF - Socialistisk Folkeparti,Københavns Storkreds,Hovedstaden,Alle,,1128,1128,,,3,,False
Halime Oguz,SF - Socialistisk Folkeparti,Københavns Storkreds,Hovedstaden,Alle,,1567,1567,,,1,,False
Rune Palm,SF - Socialistisk Folkeparti,Københavns Storkreds,Hovedstaden,Alle,,801,801,,,5,,False
Carl Valentin,SF - Socialistisk Folkeparti,Københavns Storkreds,Hovedstaden,Alle,,3271,3271,3K,3,,K,True
Bjarke Bisgaard Yolal,SF - Socialistisk Folkeparti,Københavns Storkreds,Hovedstaden,Alle,,129,129,,,7,,False
Sigurd Agersnap,SF - Socialistisk Folkeparti,Københavns Omegns Storkreds,Hovedstaden,Alle,3,3546,3546,1K,1,,K,True
Helene Brochmann,SF - Socialistisk Folkeparti,Københavns Omegns Storkreds,Hovedstaden,Alle,1,787,787,,,3,,False
Taner Genc,SF - Socialistisk Folkeparti,Københavns Omegns Storkreds,Hovedstaden,Alle,8,576,576,,,4,,False
Niels Haxthausen,SF - Socialistisk Folkeparti,Københavns Omegns Storkreds,Hovedstaden,Alle,2,311,311,,,5,,False
Vivi Nør Jacobsen,SF - Socialistisk Folkeparti,Københavns Omegns Storkreds,Hovedstaden,Alle,7,2506,2506,,,1,,False
Troels Stru Schmidt,SF - Socialistisk Folkeparti,Københavns Omegns Storkreds,Hovedstaden,Alle,4,903,903,,,2,,False
Alexander Bruhn Skjøth,SF - Socialistisk Folkeparti,Københavns Omegns Storkreds,Hovedstaden,Alle,6,263,263,,,6,,False
Sofie F. Villadsen,SF - Socialistisk Folkeparti,Københavns Omegns Storkreds,Hovedstaden,Alle,5,3349,3349,2K,2,,K,True
Marianne Bigum,SF - Socialistisk Folkeparti,Nordsjællands Storkreds,Hovedstaden,Alle,,2384,2384,1T,1,,T,True
Elias Julius Binggeli,SF - Socialistisk Folkeparti,Nordsjællands Storkreds,Hovedstaden,Alle,,189,189,,,6,,False
Jacob Mark,SF - Socialistisk Folkeparti,Nordsjællands Storkreds,Hovedstaden,Alle,Alle,12139,12139,1K,1,,K,True
Stina Egedius Miller,SF - Socialistisk Folkeparti,Nordsjællands Storkreds,Hovedstaden,Alle,,444,444,,,4,,False
Emil Nielsen,SF - Socialistisk Folkeparti,Nordsjællands Storkreds,Hovedstaden,Alle,,1590,1590,,,1,,False
Anna Poulsen,SF - Socialistisk Folkeparti,Nordsjællands Storkreds,Hovedstaden,Alle,,776,776,,,3,,False
Anja Rosengreen,SF - Socialistisk Folkeparti,Nordsjællands Storkreds,Hovedstaden,Alle,,1287,1287,,,2,,False
Jens Skov,SF - Socialistisk Folkeparti,Nordsjællands Storkreds,Hovedstaden,Alle,,327,327,,,5,,False
Sofie Christiansen,SF - Socialistisk Folkeparti,Bornholms Storkreds,Hovedstaden,1,,1020,266,,,2,,False
Sebastian Bloch Jensen,SF - Socialistisk Folkeparti,Bornholms Storkreds,Hovedstaden,2,,1744,1059,,,1,,False
Jeanne Bergmansen,SF - Socialistisk Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,659,659,,,7,,False
Anne Valentina Berthelsen,SF - Socialistisk Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,1782,1782,3K,3,,K,True
Astrid Carøe,SF - Socialistisk Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,1895,1895,2K,2,,K,True
Pia Olsen Dyhr,SF - Socialistisk Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,Alle,29344,29344,1K,1,,K,True
Michael Graakjær,SF - Socialistisk Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,128,128,,,9,,False
Jesper Hartøft,SF - Socialistisk Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,551,551,,,8,,False
Claus Jørgensen,SF - Socialistisk Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,1125,1125,,,2,,False
Martin Graff Jørgensen,SF - Socialistisk Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,836,836,,,5,,False
Joan Kragh,SF - Socialistisk Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,667,667,,,6,,False
Mads Olsen,SF - Socialistisk Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,1315,1315,,,1,,False
Kristine Amalie Rostgård,SF - Socialistisk Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,1014,1014,,,4,,False
Ali Yahya,SF - Socialistisk Folkeparti,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,1102,1102,,,3,,False
Laura Elise Andersen-Mühl,SF - Socialistisk Folkeparti,Fyns Storkreds,Sjælland-Syddanmark,Alle,,835,835,,,2,,False
Linda Bollerup,SF - Socialistisk Folkeparti,Fyns Storkreds,Sjælland-Syddanmark,Alle,,541,541,,,5,,False
Charlotte Ellenberger,SF - Socialistisk Folkeparti,Fyns Storkreds,Sjælland-Syddanmark,Alle,,431,431,,,7,,False
Suzette Frovin,SF - Socialistisk Folkeparti,Fyns Storkreds,Sjælland-Syddanmark,Alle,,1486,1486,,,1,,False
Karsten Hønge,SF - Socialistisk Folkeparti,Fyns Storkreds,Sjælland-Syddanmark,Alle,,5373,5373,1K,1,,K,True
Lise Müller,SF - Socialistisk Folkeparti,Fyns Storkreds,Sjælland-Syddanmark,Alle,Alle,4732,4732,2K,2,,K,True
Lars Nissen,SF - Socialistisk Folkeparti,Fyns Storkreds,Sjælland-Syddanmark,Alle,,475,475,,,6,,False
Simon Meyer Off,SF - Socialistisk Folkeparti,Fyns Storkreds,Sjælland-Syddanmark,Alle,,645,645,,,3,,False
Johannes Skov Pedersen,SF - Socialistisk Folkeparti,Fyns Storkreds,Sjælland-Syddanmark,Alle,,197,197,,,9,,False
Nynne Printz,SF - Socialistisk Folkeparti,Fyns Storkreds,Sjælland-Syddanmark,Alle,,234,234,,,8,,False
Anna Katrine Leth Rehn,SF - Socialistisk Folkeparti,Fyns Storkreds,Sjælland-Syddanmark,Alle,,606,606,,,4,,False
Timm Bøttger,SF - Socialistisk Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,379,379,,,6,,False
Christian Mutwa Christensen,SF - Socialistisk Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,440,440,,,5,,False
Karina Lorentzen Dehnhardt,SF - Socialistisk Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,"1,2,8,9,10,11,12,13",8246,8246,1K,1,,K,True
Magnus Flensborg,SF - Socialistisk Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,592,592,,,3,,False
Milo Gaarde,SF - Socialistisk Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,922,922,,,1,,False
Ina Juul Jensen,SF - Socialistisk Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,868,868,,,2,,False
Jørgen Kvist,SF - Socialistisk Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,"3,4,5,6,7",1197,1197,2K,2,,K,True
Susanne Blegvad Posselt,SF - Socialistisk Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,310,310,,,7,,False
Sofus Teislev,SF - Socialistisk Folkeparti,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,471,471,,,4,,False
Paw Hedegaard Amdisen,SF - Socialistisk Folkeparti,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,1384,1384,,,3,,False
Kirsten Normann Andersen,SF - Socialistisk Folkeparti,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,Alle,9526,9526,1K,1,,K,True
Anna Brændemose,SF - Socialistisk Folkeparti,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,2013,2013,,,2,,False
Morten Siig Henriksen,SF - Socialistisk Folkeparti,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,644,644,,,6,,False
Sofie Lippert,SF - Socialistisk Folkeparti,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,4516,4516,2K,2,,K,True
Rasmus T. Mortensen,SF - Socialistisk Folkeparti,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,550,550,,,7,,False
Charlotte Broman Mølbæk,SF - Socialistisk Folkeparti,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,4356,4356,3K,3,,K,True
Carina Sarkkinen,SF - Socialistisk Folkeparti,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,861,861,,,5,,False
Søren Lahn Sloth,SF - Socialistisk Folkeparti,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,883,883,,,4,,False
Charlotte Vindeløv,SF - Socialistisk Folkeparti,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,2248,2248,,,1,,False
Nils Brøgger,SF - Socialistisk Folkeparti,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,,1898,1898,,,1,,False
Anders Bøge,SF - Socialistisk Folkeparti,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,,492,492,,,4,,False
Emma Thorup Jacobsen,SF - Socialistisk Folkeparti,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,,655,655,,,2,,False
Niels Kristian Larsen,SF - Socialistisk Folkeparti,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,,648,648,,,3,,False
Signe Munk,SF - Socialistisk Folkeparti,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,Alle,13806,13806,1K,1,,K,True
Bente Refslund,SF - Socialistisk Folkeparti,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,,472,472,,,5,,False
Melina Andersen,SF - Socialistisk Folkeparti,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,7,2330,2330,,,1,,False
Theresa Berg Andersen,SF - Socialistisk Folkeparti,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,5,4623,4623,1K,1,,K,True
Morten Bo Bertelsen,SF - Socialistisk Folkeparti,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,4,772,772,,,3,,False
Benjamin Christensen,SF - Socialistisk Folkeparti,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,8,991,991,,,2,,False
Henning Jørgensen,SF - Socialistisk Folkeparti,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,3,183,183,,,6,,False
Thomas Kjeldsen,SF - Socialistisk Folkeparti,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,9,103,103,,,7,,False
Peder Larsen,SF - Socialistisk Folkeparti,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,6,602,602,,,4,,False
Christina Lykke,SF - Socialistisk Folkeparti,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,1,3260,3260,1T,1,,T,True
Dorte M. Nielsen,SF - Socialistisk Folkeparti,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,2,458,458,,,5,,False
Rikke Hansen,Borgernes Parti - Lars Boje Mathiesen,Københavns Storkreds,Hovedstaden,Alle,Alle,284,284,,,1,,False
Flemming Steenlykke,Borgernes Parti - Lars Boje Mathiesen,Københavns Storkreds,Hovedstaden,Alle,,203,203,,,2,,False
Morten Dehn,Borgernes Parti - Lars Boje Mathiesen,Københavns Omegns Storkreds,Hovedstaden,Alle,Alle,260,260,,,1,,False
Søren T. Fugleberg,Borgernes Parti - Lars Boje Mathiesen,Københavns Omegns Storkreds,Hovedstaden,Alle,,44,44,,,5,,False
Mathias Fuglsang,Borgernes Parti - Lars Boje Mathiesen,Københavns Omegns Storkreds,Hovedstaden,Alle,,207,207,,,2,,False
Frederik Lundberg,Borgernes Parti - Lars Boje Mathiesen,Københavns Omegns Storkreds,Hovedstaden,Alle,,97,97,,,3,,False
Allan Orland,Borgernes Parti - Lars Boje Mathiesen,Københavns Omegns Storkreds,Hovedstaden,Alle,,75,75,,,4,,False
Peter Faber,Borgernes Parti - Lars Boje Mathiesen,Nordsjællands Storkreds,Hovedstaden,Alle,"2,4,5,6",302,302,,,1,,False
Martin Nordstjerne,Borgernes Parti - Lars Boje Mathiesen,Nordsjællands Storkreds,Hovedstaden,Alle,1,298,298,,,2,,False
Emilie Schytte,Borgernes Parti - Lars Boje Mathiesen,Nordsjællands Storkreds,Hovedstaden,Alle,3,533,533,1T,1,,T,True
Charlotte Friberg Henriksen,Borgernes Parti - Lars Boje Mathiesen,Bornholms Storkreds,Hovedstaden,Alle,,421,28,,,1,,False
John Bo Hansen,Borgernes Parti - Lars Boje Mathiesen,Sjællands Storkreds,Sjælland-Syddanmark,Alle,"1,2",152,152,,,3,,False
Jacob Harris,Borgernes Parti - Lars Boje Mathiesen,Sjællands Storkreds,Sjælland-Syddanmark,Alle,"3,4,7,8,9,10,11,12",2307,2307,1T,1,,T,True
Tim Larsen,Borgernes Parti - Lars Boje Mathiesen,Sjællands Storkreds,Sjælland-Syddanmark,Alle,5,319,319,,,2,,False
Sanne Pilgaard,Borgernes Parti - Lars Boje Mathiesen,Sjællands Storkreds,Sjælland-Syddanmark,Alle,6,586,586,,,1,,False
Anja Busch,Borgernes Parti - Lars Boje Mathiesen,Fyns Storkreds,Sjælland-Syddanmark,Alle,,190,190,,,3,,False
Allan Holm,Borgernes Parti - Lars Boje Mathiesen,Fyns Storkreds,Sjælland-Syddanmark,Alle,Alle,591,591,,,1,,False
Daniel Juhl,Borgernes Parti - Lars Boje Mathiesen,Fyns Storkreds,Sjælland-Syddanmark,Alle,,152,152,,,4,,False
Charlotte Møller-Madsen,Borgernes Parti - Lars Boje Mathiesen,Fyns Storkreds,Sjælland-Syddanmark,Alle,,351,351,,,2,,False
Karsten Byrgesen,Borgernes Parti - Lars Boje Mathiesen,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,"2,3,4,5,6,7,8,9,10,11",556,556,,,1,,False
Jan Køpke Christensen,Borgernes Parti - Lars Boje Mathiesen,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,,507,507,,,3,,False
Jørn Dohrmann,Borgernes Parti - Lars Boje Mathiesen,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,12,527,527,,,2,,False
Nadja Natalie Isaksen,Borgernes Parti - Lars Boje Mathiesen,Sydjyllands Storkreds,Sjælland-Syddanmark,Alle,"1,13",1301,1301,1T,1,,T,True
Viviane Ellasofie Karlsen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,239,239,,,1,,False
Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,Alle,8408,8408,1T,1,,T,True
Michael Bang Pedersen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,Midtjylland-Nordjylland,Alle,,30,30,,,2,,False
Maria Enemark,Borgernes Parti - Lars Boje Mathiesen,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,,321,321,,,3,,False
Helge K. Frandsen,Borgernes Parti - Lars Boje Mathiesen,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,Alle,837,837,,,1,,False
Jes Halfdan,Borgernes Parti - Lars Boje Mathiesen,Vestjyllands Storkreds,Midtjylland-Nordjylland,Alle,,729,729,,,2,,False
John Bjerg,Borgernes Parti - Lars Boje Mathiesen,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,"1,2,3,9",553,553,,,1,,False
Niels Christensen,Borgernes Parti - Lars Boje Mathiesen,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,"4,5,6,7,8",351,351,,,3,,False
Arne Hyldgaard,Borgernes Parti - Lars Boje Mathiesen,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,236,236,,,5,,False
Paulina Laparil,Borgernes Parti - Lars Boje Mathiesen,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,292,292,,,4,,False
Ib Poulsen,Borgernes Parti - Lars Boje Mathiesen,Nordjyllands Storkreds,Midtjylland-Nordjylland,Alle,,372,372,,,2,,False
Per Nørgaard Andersen,Liberal Alliance,Københavns Storkreds,Hovedstaden,Alle,,149,149,,,5,,False
Laura Emilie Fabricius-Lauritzen,Liberal Alliance,Københavns Storkreds,Hovedstaden,Alle,,279,279,,,3,,False
Torben Guldbæk,Liberal Alliance,Københavns Storkreds,Hovedstaden,Alle,,50,50,,,7,,False
Charlotte Nellemann,Liberal Alliance,Københavns Storkreds,Hovedstaden,Alle,,191,191,,,4,,False
Ole Birk Olesen,Liberal Alliance,Københavns Storkreds,Hovedstaden,Alle,"1,3,5,6,7,8,10,11",2886,2886,1T,1,,T,True
Line Østergaard Olsen,Liberal Alliance,Københavns Storkreds,Hovedstaden,Alle,,143,143,,,6,,False
Merete Riisager,Liberal Alliance,Københavns Storkreds,Hovedstaden,Alle,,1656,1656,,,2,,False
Alexander Ryle,Liberal Alliance,Københavns Storkreds,Hovedstaden,Alle,,1984,1984,,,1,,False
Mads Strange,Liberal Alliance,Københavns Storkreds,Hovedstaden,Alle,"2,4,9,12",4488,4488,1K,1,,K,True
Hanne Bjørn,Liberal Alliance,Københavns Omegns Storkreds,Hovedstaden,Alle,,378,378,,,3,,False
Freja Brandhøj,Liberal Alliance,Københavns Omegns Storkreds,Hovedstaden,Alle,"1,2,3",1566,1566,1K,1,,K,True
Patrizia Venturelli Christensen,Liberal Alliance,Københavns Omegns Storkreds,Hovedstaden,Alle,,467,467,,,2,,False
Frank Clausen,Liberal Alliance,Københavns Omegns Storkreds,Hovedstaden,Alle,,218,218,,,5,,False
David Ibsen,Liberal Alliance,Københavns Omegns Storkreds,Hovedstaden,Alle,,72,72,,,7,,False
Jonas Juhl,Liberal Alliance,Københavns Omegns Storkreds,Hovedstaden,Alle,"4,5,6,7,8",813,813,,,1,,False
Jacqueline Kristensen,Liberal Alliance,Københavns Omegns Storkreds,Hovedstaden,Alle,,169,169,,,6,,False
Michael Melchert,Liberal Alliance,Københavns Omegns Storkreds,Hovedstaden,Alle,,331,331,,,4,,False
Chelle Lilly Albøge,Liberal Alliance,Nordsjællands Storkreds,Hovedstaden,Alle,,1809,1809,,,1,,False
Christopher Arzrouni,Liberal Alliance,Nordsjællands Storkreds,Hovedstaden,Alle,"1,3,4",1334,1334,,,2,,False
Kira Danholm,Liberal Alliance,Nordsjællands Storkreds,Hovedstaden,Alle,,157,157,,,6,,False
Steffen W. Frølund,Liberal Alliance,Nordsjællands Storkreds,Hovedstaden,Alle,"2,5,6",1868,1868,1K,1,,K,True
Lars Høyer Holmqvist,Liberal Alliance,Nordsjællands Storkreds,Hovedstaden,Alle,,800,800,,,3,,False
Johannes Joyce,Liberal Alliance,Nordsjællands Storkreds,Hovedstaden,Alle,,27,27,,,10,,False
Robert Mørck,Liberal Alliance,Nordsjællands Storkreds,Hovedstaden,Alle,,190,190,,,5,,False
Steffen Sjørslev,Liberal Alliance,Nordsjællands Storkreds,Hovedstaden,Alle,,92,92,,,8,,False
Philip Solberg,Liberal Alliance,Nordsjællands Storkreds,Hovedstaden,Alle,,365,365,,,4,,False
Sten Schmidl Søbjærg,Liberal Alliance,Nordsjællands Storkreds,Hovedstaden,Alle,,78,78,,,9,,False
Steen Tofteng,Liberal Alliance,Nordsjællands Storkreds,Hovedstaden,Alle,,94,94,,,7,,False
Eik Dahl Bidstrup,Liberal Alliance,Bornholms Storkreds,Hovedstaden,Alle,,1200,148,,,1,,False
Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,Sjælland-Syddanmark,Alle,"6,7,8",1691,1691,2K,2,,K,True
Mads Brenøe,Liberal Alliance,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,437,437,,,2,,False
Henrik B. Dynesen,Liberal Alliance,Sjællands Storkreds,Sjælland-Syddanmark,Alle,,75,75,,,13,,False
