candidate_name,party_name,storkreds
Nanna Høyrup,Alternativet,Nordsjællands Storkreds
Rasmus Harning,Alternativet,Nordsjællands Storkreds
Salik Anders Rosing,Alternativet,Nordsjællands Storkreds
Simon Rigét,Alternativet,Nordsjællands Storkreds
Sofie Faureholm Lundsberg,Alternativet,Nordsjællands Storkreds
Tine Loft Thomsen,Alternativet,Nordsjællands Storkreds
Emilie Schytte,Borgernes Parti - Lars Boje Mathiesen,Nordsjællands Storkreds
Martin Nordstjerne,Borgernes Parti - Lars Boje Mathiesen,Nordsjællands Storkreds
Peter Faber,Borgernes Parti - Lars Boje Mathiesen,Nordsjællands Storkreds
Katrine Schiller,Danmarksdemokraterne - Inger Støjberg,Nordsjællands Storkreds
Lars Bregnbak,Danmarksdemokraterne - Inger Støjberg,Nordsjællands Storkreds
Maibritt Nielsen,Danmarksdemokraterne - Inger Støjberg,Nordsjællands Storkreds
Marlene Harpsøe,Danmarksdemokraterne - Inger Støjberg,Nordsjællands Storkreds
Brian Lyck Jørgensen,Dansk Folkeparti,Nordsjællands Storkreds
Gert Løfgren,Dansk Folkeparti,Nordsjællands Storkreds
Jette Juul,Dansk Folkeparti,Nordsjællands Storkreds
Mette Thiesen,Dansk Folkeparti,Nordsjællands Storkreds
Mikkel Hartwich,Dansk Folkeparti,Nordsjællands Storkreds
Pia Adelsteen,Dansk Folkeparti,Nordsjællands Storkreds
Ulla Kokfelt,Dansk Folkeparti,Nordsjællands Storkreds
Birgitte Bergman,Det Konservative Folkeparti,Nordsjællands Storkreds
Daniel Drefeld,Det Konservative Folkeparti,Nordsjællands Storkreds
Egil Hulgaard,Det Konservative Folkeparti,Nordsjællands Storkreds
Emma Juul Hansen,Det Konservative Folkeparti,Nordsjællands Storkreds
Frederik Germann,Det Konservative Folkeparti,Nordsjællands Storkreds
Mette Abildgaard,Det Konservative Folkeparti,Nordsjællands Storkreds
Annie Hagel,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds
Carolina Cámara,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds
Christoffer Emil Jexen,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds
Emil Andersen,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds
Rasmus Petersen,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds
Sinem Dybvad Demir,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds
Chelle Lilly Albøge,Liberal Alliance,Nordsjællands Storkreds
Christopher Arzrouni,Liberal Alliance,Nordsjællands Storkreds
Johannes Joyce,Liberal Alliance,Nordsjællands Storkreds
Kira Danholm,Liberal Alliance,Nordsjællands Storkreds
Lars Høyer Holmqvist,Liberal Alliance,Nordsjællands Storkreds
Philip Solberg,Liberal Alliance,Nordsjællands Storkreds
Robert Mørck,Liberal Alliance,Nordsjællands Storkreds
Steen Tofteng,Liberal Alliance,Nordsjællands Storkreds
Steffen Sjørslev,Liberal Alliance,Nordsjællands Storkreds
Steffen W. Frølund,Liberal Alliance,Nordsjællands Storkreds
Sten Schmidl Søbjærg,Liberal Alliance,Nordsjællands Storkreds
Andreas Raben,Moderaterne,Nordsjællands Storkreds
Ayhan Kilic,Moderaterne,Nordsjællands Storkreds
Charlotte Haagendrup,Moderaterne,Nordsjællands Storkreds
Pernille Christensen,Moderaterne,Nordsjællands Storkreds
Rasmus Lund-Nielsen,Moderaterne,Nordsjællands Storkreds
Christian Elkjær,Radikale Venstre,Nordsjællands Storkreds
Christina Thorholm,Radikale Venstre,Nordsjællands Storkreds
Freja Eva Lockenwitz,Radikale Venstre,Nordsjællands Storkreds
Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds
Martin Lidegaard,Radikale Venstre,Nordsjællands Storkreds
Mikkel Westh Jepsen,Radikale Venstre,Nordsjællands Storkreds
Tine Hessner,Radikale Venstre,Nordsjællands Storkreds
Anja Rosengreen,SF - Socialistisk Folkeparti,Nordsjællands Storkreds
Anna Poulsen,SF - Socialistisk Folkeparti,Nordsjællands Storkreds
Elias Julius Binggeli,SF - Socialistisk Folkeparti,Nordsjællands Storkreds
Emil Nielsen,SF - Socialistisk Folkeparti,Nordsjællands Storkreds
Jacob Mark,SF - Socialistisk Folkeparti,Nordsjællands Storkreds
Jens Skov,SF - Socialistisk Folkeparti,Nordsjællands Storkreds
Marianne Bigum,SF - Socialistisk Folkeparti,Nordsjællands Storkreds
Stina Egedius Miller,SF - Socialistisk Folkeparti,Nordsjællands Storkreds
Fie Hækkerup,Socialdemokratiet,Nordsjællands Storkreds
Henrik Møller,Socialdemokratiet,Nordsjællands Storkreds
Louise Mehnke,Socialdemokratiet,Nordsjællands Storkreds
Matilde Powers,Socialdemokratiet,Nordsjællands Storkreds
Rasmus Stoklund,Socialdemokratiet,Nordsjællands Storkreds
Søren Rye,Socialdemokratiet,Nordsjællands Storkreds
Annette Rieva,Venstre,Nordsjællands Storkreds
Hans Andersen,Venstre,Nordsjællands Storkreds
Katarina Ammitzbøll,Venstre,Nordsjællands Storkreds
Marianne Lynghøj,Venstre,Nordsjællands Storkreds
Sophie Løhde,Venstre,Nordsjællands Storkreds
Tue Villebro,Venstre,Nordsjællands Storkreds
Allan Hansen Lindemark,Alternativet,Sjællands Storkreds
Elise Sydendal,Alternativet,Sjællands Storkreds
Isabella Apelroth,Alternativet,Sjællands Storkreds
Jacob Antvorskov,Alternativet,Sjællands Storkreds
Lars König,Alternativet,Sjællands Storkreds
Line Gessø,Alternativet,Sjællands Storkreds
Liselotte Katarina Rotfeld,Alternativet,Sjællands Storkreds
Mette Friis,Alternativet,Sjællands Storkreds
Sascha Faxe,Alternativet,Sjællands Storkreds
Valentina Crast,Alternativet,Sjællands Storkreds
Yurdal Cicek,Alternativet,Sjællands Storkreds
Jacob Harris,Borgernes Parti - Lars Boje Mathiesen,Sjællands Storkreds
John Bo Hansen,Borgernes Parti - Lars Boje Mathiesen,Sjællands Storkreds
Sanne Pilgaard,Borgernes Parti - Lars Boje Mathiesen,Sjællands Storkreds
Tim Larsen,Borgernes Parti - Lars Boje Mathiesen,Sjællands Storkreds
Benny Damgaard,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds
Bob Richard Nielsen,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds
Brian Mørch,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds
Christian Wibholm,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds
Dina Person,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds
John Brill Engkebølle,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds
Martin Rahn Johansen,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds
Michael Rosenmark,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds
Peter Skaarup,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds
Susie Jessen,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds
Anders Bork,Dansk Folkeparti,Sjællands Storkreds
Henrik Brodersen,Dansk Folkeparti,Sjællands Storkreds
Jacob Bentsen,Dansk Folkeparti,Sjællands Storkreds
Jan Herskov,Dansk Folkeparti,Sjællands Storkreds
Julie Jacobsen,Dansk Folkeparti,Sjællands Storkreds
Malte Larsen,Dansk Folkeparti,Sjællands Storkreds
Michael Pihl,Dansk Folkeparti,Sjællands Storkreds
Morten Messerschmidt,Dansk Folkeparti,Sjællands Storkreds
Simon Hampe,Dansk Folkeparti,Sjællands Storkreds
Søren Lund Hansen,Dansk Folkeparti,Sjællands Storkreds
Tanja Glückstadt,Dansk Folkeparti,Sjællands Storkreds
Barbara Engelstoft,Det Konservative Folkeparti,Sjællands Storkreds
Ditte Keidser,Det Konservative Folkeparti,Sjællands Storkreds
Henrik Jacobsen,Det Konservative Folkeparti,Sjællands Storkreds
Ida Dyhr,Det Konservative Folkeparti,Sjællands Storkreds
Jacob Stryhn,Det Konservative Folkeparti,Sjællands Storkreds
Jane Christensen,Det Konservative Folkeparti,Sjællands Storkreds
Mads Ramstedt,Det Konservative Folkeparti,Sjællands Storkreds
Marcus Knuth,Det Konservative Folkeparti,Sjællands Storkreds
Rune Kristensen,Det Konservative Folkeparti,Sjællands Storkreds
Silas Ipsen,Det Konservative Folkeparti,Sjællands Storkreds
Victoria Helene Olsen,Det Konservative Folkeparti,Sjællands Storkreds
Vilhelm Møller,Det Konservative Folkeparti,Sjællands Storkreds
Birgit Gedionsen,Enhedslisten - De Rød-Grønne,Sjællands Storkreds
Bruno Jerup,Enhedslisten - De Rød-Grønne,Sjællands Storkreds
"Eva Flyvholm 10,",Enhedslisten - De Rød-Grønne,Sjællands Storkreds
Helena Hedegaard Udsen,Enhedslisten - De Rød-Grønne,Sjællands Storkreds
Jonas Paludan,Enhedslisten - De Rød-Grønne,Sjællands Storkreds
Karen Thestrup Clausen,Enhedslisten - De Rød-Grønne,Sjællands Storkreds
Kevin Alex Rasmussen,Enhedslisten - De Rød-Grønne,Sjællands Storkreds
Louis Jacobsen,Enhedslisten - De Rød-Grønne,Sjællands Storkreds
"Ludmila Plenge 2,",Enhedslisten - De Rød-Grønne,Sjællands Storkreds
Peter Roswall,Enhedslisten - De Rød-Grønne,Sjællands Storkreds
Brian Prehn,Liberal Alliance,Sjællands Storkreds
Carsten Abildtrup Ranum,Liberal Alliance,Sjællands Storkreds
Elva Bille Klem,Liberal Alliance,Sjællands Storkreds
Frederik Grünfeld,Liberal Alliance,Sjællands Storkreds
Frederik Max Krag,Liberal Alliance,Sjællands Storkreds
Henrik B. Dynesen,Liberal Alliance,Sjællands Storkreds
Joachim Riis,Liberal Alliance,Sjællands Storkreds
Julie Memborg,Liberal Alliance,Sjællands Storkreds
Kasper Schneider,Liberal Alliance,Sjællands Storkreds
Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds
Mads Brenøe,Liberal Alliance,Sjællands Storkreds
Martin Mickey Pedersen,Liberal Alliance,Sjællands Storkreds
Michael Rask,Liberal Alliance,Sjællands Storkreds
Nicolai Sandager,Liberal Alliance,Sjællands Storkreds
Nikolaj Brink Olsen,Liberal Alliance,Sjællands Storkreds
Pernille Vermund,Liberal Alliance,Sjællands Storkreds
Sandra Skalvig,Liberal Alliance,Sjællands Storkreds
Steffen Friis,Liberal Alliance,Sjællands Storkreds
Susan H. Møller,Liberal Alliance,Sjællands Storkreds
Ulrik Lassen,Liberal Alliance,Sjællands Storkreds
Brian Perri,Moderaterne,Sjællands Storkreds
Charlotte Bagge,Moderaterne,Sjællands Storkreds
Frida Qvist Kristensen,Moderaterne,Sjællands Storkreds
Jan Carlsen,Moderaterne,Sjællands Storkreds
Kasper Nygaard,Moderaterne,Sjællands Storkreds
Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds
Mia Linda Møller,Moderaterne,Sjællands Storkreds
Mogens Haugaard,Moderaterne,Sjællands Storkreds
Edris Qasimi,Radikale Venstre,Sjællands Storkreds
Helena Tjørnelund Christensen,Radikale Venstre,Sjællands Storkreds
Jeppe Fransson,Radikale Venstre,Sjællands Storkreds
Jeppe Trolle,Radikale Venstre,Sjællands Storkreds
Kristian Stokholm,Radikale Venstre,Sjællands Storkreds
Line Krogh Lay,Radikale Venstre,Sjællands Storkreds
Mette Hvid Brockmann,Radikale Venstre,Sjællands Storkreds
Sofie Holm,Radikale Venstre,Sjællands Storkreds
Troels Brandt,Radikale Venstre,Sjællands Storkreds
Zenia Stampe,Radikale Venstre,Sjællands Storkreds
Ali Yahya,SF - Socialistisk Folkeparti,Sjællands Storkreds
Anne Valentina Berthelsen,SF - Socialistisk Folkeparti,Sjællands Storkreds
Astrid Carøe,SF - Socialistisk Folkeparti,Sjællands Storkreds
Claus Jørgensen,SF - Socialistisk Folkeparti,Sjællands Storkreds
Jeanne Bergmansen,SF - Socialistisk Folkeparti,Sjællands Storkreds
Jesper Hartøft,SF - Socialistisk Folkeparti,Sjællands Storkreds
Joan Kragh,SF - Socialistisk Folkeparti,Sjællands Storkreds
Kristine Amalie Rostgård,SF - Socialistisk Folkeparti,Sjællands Storkreds
Mads Olsen,SF - Socialistisk Folkeparti,Sjællands Storkreds
Martin Graff Jørgensen,SF - Socialistisk Folkeparti,Sjællands Storkreds
Michael Graakjær,SF - Socialistisk Folkeparti,Sjællands Storkreds
Pia Olsen Dyhr,SF - Socialistisk Folkeparti,Sjællands Storkreds
Carl Emil Lind,Socialdemokratiet,Sjællands Storkreds
Filiz Sarah Thunø,Socialdemokratiet,Sjællands Storkreds
Frederik Vad,Socialdemokratiet,Sjællands Storkreds
Julie Kølskov,Socialdemokratiet,Sjællands Storkreds
Kaare Dybvad Bek,Socialdemokratiet,Sjællands Storkreds
Kanishka Dastageer,Socialdemokratiet,Sjællands Storkreds
Kasper Roug,Socialdemokratiet,Sjællands Storkreds
Magnus Heunicke,Socialdemokratiet,Sjællands Storkreds
Rasmus Horn Langhoff,Socialdemokratiet,Sjællands Storkreds
Tanja Larsson,Socialdemokratiet,Sjællands Storkreds
Trine Birk Andersen,Socialdemokratiet,Sjællands Storkreds
Valdemar Alban,Socialdemokratiet,Sjællands Storkreds
Christian Friis Bach,Venstre,Sjællands Storkreds
Claus Bakke,Venstre,Sjællands Storkreds
Iben Krog,Venstre,Sjællands Storkreds
Jacob Jensen,Venstre,Sjællands Storkreds
Josefine Paaske,Venstre,Sjællands Storkreds
Louise Elholm,Venstre,Sjællands Storkreds
Marcus Danielsson,Venstre,Sjællands Storkreds
Michael Schjelde,Venstre,Sjællands Storkreds
Morten Dahlin,Venstre,Sjællands Storkreds
Rasmus Hylleberg,Venstre,Sjællands Storkreds
Thorbern Alexander Klingert,Venstre,Sjællands Storkreds
Tina Mandrup,Venstre,Sjællands Storkreds
Ane Line Søndergaard,Alternativet,Sydjyllands Storkreds
Astrid Fogh,Alternativet,Sydjyllands Storkreds
Bo Nielsen,Alternativet,Sydjyllands Storkreds
Bodil Nielsen,Alternativet,Sydjyllands Storkreds
Carsten Sohl,Alternativet,Sydjyllands Storkreds
Coco Mette Cecilie Kjærgaard,Alternativet,Sydjyllands Storkreds
Edvard Korsbæk,Alternativet,Sydjyllands Storkreds
Hans Biering Fonsbøl,Alternativet,Sydjyllands Storkreds
Mikael Hertig,Alternativet,Sydjyllands Storkreds
Mikael Winther,Alternativet,Sydjyllands Storkreds
Jan Køpke Christensen,Borgernes Parti - Lars Boje Mathiesen,Sydjyllands Storkreds
Jørn Dohrmann,Borgernes Parti - Lars Boje Mathiesen,Sydjyllands Storkreds
Karsten Byrgesen,Borgernes Parti - Lars Boje Mathiesen,Sydjyllands Storkreds
Nadja Natalie Isaksen,Borgernes Parti - Lars Boje Mathiesen,Sydjyllands Storkreds
Jakob Venø Heiwald,Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds
Karina Adsbøl,Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds
Kenneth Fredslund Petersen,Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds
Patrick Bryhl,Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds
Thomas Majgaard Byrsing,Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds
Ulrik Knudsen,Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds
Allan Svendsen,Dansk Folkeparti,Sydjyllands Storkreds
Christian Kirk,Dansk Folkeparti,Sydjyllands Storkreds
Jim Zakaria,Dansk Folkeparti,Sydjyllands Storkreds
Josephine Alstrup Kofod,Dansk Folkeparti,Sydjyllands Storkreds
Kim Andkjær Doberck,Dansk Folkeparti,Sydjyllands Storkreds
Mads-Magnus Damm,Dansk Folkeparti,Sydjyllands Storkreds
Per Knudsen,Dansk Folkeparti,Sydjyllands Storkreds
Peter Kofod,Dansk Folkeparti,Sydjyllands Storkreds
Rune Bønnelykke,Dansk Folkeparti,Sydjyllands Storkreds
Rune Højer,Dansk Folkeparti,Sydjyllands Storkreds
Sune Nørgaard Jakobsen,Dansk Folkeparti,Sydjyllands Storkreds
Tobias Brus Mikkelsen,Dansk Folkeparti,Sydjyllands Storkreds
Cecilie C. Johannsen,Det Konservative Folkeparti,Sydjyllands Storkreds
Christian Tarbensen,Det Konservative Folkeparti,Sydjyllands Storkreds
Christina Foldager,Det Konservative Folkeparti,Sydjyllands Storkreds
Dan Arnløv,Det Konservative Folkeparti,Sydjyllands Storkreds
Frederik Bloch Münster,Det Konservative Folkeparti,Sydjyllands Storkreds
Gitte Eriksen,Det Konservative Folkeparti,Sydjyllands Storkreds
Gunver Birgitte Nielsen,Det Konservative Folkeparti,Sydjyllands Storkreds
Jannie Boysen Westergaard,Det Konservative Folkeparti,Sydjyllands Storkreds
Jens Langer Schou,Det Konservative Folkeparti,Sydjyllands Storkreds
Kristian Thomsen,Det Konservative Folkeparti,Sydjyllands Storkreds
Morten Trillingsgaard Høybye,Det Konservative Folkeparti,Sydjyllands Storkreds
Rasmus Elkjær Larsen,Det Konservative Folkeparti,Sydjyllands Storkreds
Rasmus Sandvej,Det Konservative Folkeparti,Sydjyllands Storkreds
Benny Dall,Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds
Helene Hellesøe Appel,Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds
Holly Marie Turner,Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds
Johanna-Maria Precht,Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds
Lars Mogensen,Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds
Lasse Harder Schousboe,Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds
Lilje Holm,Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds
Mathias D. Christiansen,Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds
"Rasmus Vestergaard Madsen 7,",Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds
Sarah Nørris,Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds
"Selma Bolø 3,",Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds
Carl Andersen,Liberal Alliance,Sydjyllands Storkreds
Cecilie Liv Hansen,Liberal Alliance,Sydjyllands Storkreds
Christian Fini Mosegaard,Liberal Alliance,Sydjyllands Storkreds
Christian Jørgensen,Liberal Alliance,Sydjyllands Storkreds
Frederik Klakk,Liberal Alliance,Sydjyllands Storkreds
Helena Artmann Andresen,Liberal Alliance,Sydjyllands Storkreds
Helene Lykke,Liberal Alliance,Sydjyllands Storkreds
John Rasmussen,Liberal Alliance,Sydjyllands Storkreds
Kim Alexander Jensen,Liberal Alliance,Sydjyllands Storkreds
Steffen Larsen,Liberal Alliance,Sydjyllands Storkreds
Troels Simonsen,Liberal Alliance,Sydjyllands Storkreds
Frida Bruun,Moderaterne,Sydjyllands Storkreds
Gitte Bjerremand Andersen,Moderaterne,Sydjyllands Storkreds
Henrik Frandsen,Moderaterne,Sydjyllands Storkreds
Lone Hansen,Moderaterne,Sydjyllands Storkreds
Morten Hell,Moderaterne,Sydjyllands Storkreds
Anne Marie Geisler Andersen,Radikale Venstre,Sydjyllands Storkreds
Barbara Krarup Hansen,Radikale Venstre,Sydjyllands Storkreds
Bjarne Lastein,Radikale Venstre,Sydjyllands Storkreds
Finn Hartvig Nielsen,Radikale Venstre,Sydjyllands Storkreds
Lasse Skov Ovesen,Radikale Venstre,Sydjyllands Storkreds
Lotte Rod,Radikale Venstre,Sydjyllands Storkreds
Nicholas Wentworth,Radikale Venstre,Sydjyllands Storkreds
Nils Sjøberg,Radikale Venstre,Sydjyllands Storkreds
Ole Lynggaard Jørgensen,Radikale Venstre,Sydjyllands Storkreds
Christian Mutwa Christensen,SF - Socialistisk Folkeparti,Sydjyllands Storkreds
Ina Juul Jensen,SF - Socialistisk Folkeparti,Sydjyllands Storkreds
Jørgen Kvist,SF - Socialistisk Folkeparti,Sydjyllands Storkreds
Karina Lorentzen Dehnhardt,SF - Socialistisk Folkeparti,Sydjyllands Storkreds
Magnus Flensborg,SF - Socialistisk Folkeparti,Sydjyllands Storkreds
Milo Gaarde,SF - Socialistisk Folkeparti,Sydjyllands Storkreds
Sofus Teislev,SF - Socialistisk Folkeparti,Sydjyllands Storkreds
Susanne Blegvad Posselt,SF - Socialistisk Folkeparti,Sydjyllands Storkreds
Timm Bøttger,SF - Socialistisk Folkeparti,Sydjyllands Storkreds
Anders Kronborg,Socialdemokratiet,Sydjyllands Storkreds
Anne Catherine Hoxcer Nielsen,Socialdemokratiet,Sydjyllands Storkreds
Benny Engelbrecht,Socialdemokratiet,Sydjyllands Storkreds
Birgitte Vind,Socialdemokratiet,Sydjyllands Storkreds
Bjørn Laursen,Socialdemokratiet,Sydjyllands Storkreds
Christian Rabjerg Madsen,Socialdemokratiet,Sydjyllands Storkreds
Jesper Petersen,Socialdemokratiet,Sydjyllands Storkreds
Kim Eskesen,Socialdemokratiet,Sydjyllands Storkreds
Kris Jensen Skriver,Socialdemokratiet,Sydjyllands Storkreds
Lars Rømer Olsen,Socialdemokratiet,Sydjyllands Storkreds
Maria Radoor,Socialdemokratiet,Sydjyllands Storkreds
Theis Kylling Hommeltoft,Socialdemokratiet,Sydjyllands Storkreds
Tommi Christensen,Socialdemokratiet,Sydjyllands Storkreds
Anni Matthiesen,Venstre,Sydjyllands Storkreds
Christoffer Aagaard Melson,Venstre,Sydjyllands Storkreds
Jesper Bierbaum,Venstre,Sydjyllands Storkreds
Klaus Sandfeld,Venstre,Sydjyllands Storkreds
Lasse Hildingberg,Venstre,Sydjyllands Storkreds
Niels Henning Bladt,Venstre,Sydjyllands Storkreds
Phillip Kjær Luscombe,Venstre,Sydjyllands Storkreds
Preben Friis-Hauge,Venstre,Sydjyllands Storkreds
Stephanie Lose,Venstre,Sydjyllands Storkreds
Thomas Andresen,Venstre,Sydjyllands Storkreds
Tilde Holch Duedahl,Venstre,Sydjyllands Storkreds
Tobias Jørgensen,Venstre,Sydjyllands Storkreds
Troels Overgaard,Venstre,Sydjyllands Storkreds
Didde Krabbe Johannesen,Alternativet,Vestjyllands Storkreds
Lina Sikora Christiansen,Alternativet,Vestjyllands Storkreds
Nicklas Stampe Raabjerg,Alternativet,Vestjyllands Storkreds
Peter Bilgrav,Alternativet,Vestjyllands Storkreds
Signe Sofie Larsen,Alternativet,Vestjyllands Storkreds
Steffen Tolstrup,Alternativet,Vestjyllands Storkreds
Helge K. Frandsen,Borgernes Parti - Lars Boje Mathiesen,Vestjyllands Storkreds
Jes Halfdan,Borgernes Parti - Lars Boje Mathiesen,Vestjyllands Storkreds
Maria Enemark,Borgernes Parti - Lars Boje Mathiesen,Vestjyllands Storkreds
Betina Kastbjerg,Danmarksdemokraterne - Inger Støjberg,Vestjyllands Storkreds
Dennis Flydtkjær,Danmarksdemokraterne - Inger Støjberg,Vestjyllands Storkreds
Mads Fuglede,Danmarksdemokraterne - Inger Støjberg,Vestjyllands Storkreds
Marcus Juul Grønbæk,Danmarksdemokraterne - Inger Støjberg,Vestjyllands Storkreds
Morten Vehl Revsbeck,Danmarksdemokraterne - Inger Støjberg,Vestjyllands Storkreds
Vivi Altenburg,Danmarksdemokraterne - Inger Støjberg,Vestjyllands Storkreds
Knud Nielsen,Dansk Folkeparti,Vestjyllands Storkreds
Lone Langballe,Dansk Folkeparti,Vestjyllands Storkreds
Michelle Sundahl,Dansk Folkeparti,Vestjyllands Storkreds
Mikael Würtz,Dansk Folkeparti,Vestjyllands Storkreds
Søren Boel Olesen,Dansk Folkeparti,Vestjyllands Storkreds
Dina Andersen-Raabjerg,Det Konservative Folkeparti,Vestjyllands Storkreds
Gorm Hoff Lauridsen,Det Konservative Folkeparti,Vestjyllands Storkreds
Jørgen Christian Pedersen,Det Konservative Folkeparti,Vestjyllands Storkreds
Lau Sørensen,Det Konservative Folkeparti,Vestjyllands Storkreds
Lennart Qvist,Det Konservative Folkeparti,Vestjyllands Storkreds
Lise Bertelsen,Det Konservative Folkeparti,Vestjyllands Storkreds
Marianne Karlsmose,Det Konservative Folkeparti,Vestjyllands Storkreds
Michael Grove,Det Konservative Folkeparti,Vestjyllands Storkreds
Nicklas Verne,Det Konservative Folkeparti,Vestjyllands Storkreds
Siff Tang Lassen,Det Konservative Folkeparti,Vestjyllands Storkreds
Simon Højer,Det Konservative Folkeparti,Vestjyllands Storkreds
Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,Vestjyllands Storkreds
Christian Juhl,Enhedslisten - De Rød-Grønne,Vestjyllands Storkreds
Damian Hartvig Mathiesen,Enhedslisten - De Rød-Grønne,Vestjyllands Storkreds
Henning Bo Madsen,Enhedslisten - De Rød-Grønne,Vestjyllands Storkreds
Henning Lindberg,Enhedslisten - De Rød-Grønne,Vestjyllands Storkreds
Jacob Abildgaard,Enhedslisten - De Rød-Grønne,Vestjyllands Storkreds
Lars Dohn,Enhedslisten - De Rød-Grønne,Vestjyllands Storkreds
"Lisbeth Torfing 3,",Enhedslisten - De Rød-Grønne,Vestjyllands Storkreds
"Stine Ry Andersen 8,",Enhedslisten - De Rød-Grønne,Vestjyllands Storkreds
Annette Sofia Skotte,Liberal Alliance,Vestjyllands Storkreds
Carsten Bach,Liberal Alliance,Vestjyllands Storkreds
Helle Jensen,Liberal Alliance,Vestjyllands Storkreds
Iben Forum Jeppesen,Liberal Alliance,Vestjyllands Storkreds
Keld Lorenzen,Liberal Alliance,Vestjyllands Storkreds
Kevin Possekel,Liberal Alliance,Vestjyllands Storkreds
Michael Valbjørn,Liberal Alliance,Vestjyllands Storkreds
Ragnar Dixen,Liberal Alliance,Vestjyllands Storkreds
Steffen Troldtoft,Liberal Alliance,Vestjyllands Storkreds
Svend Stein Olsen,Liberal Alliance,Vestjyllands Storkreds
Thorbjørn Jacobsen,Liberal Alliance,Vestjyllands Storkreds
Jeppe von Berg,Moderaterne,Vestjyllands Storkreds
Martin Sanderhoff,Moderaterne,Vestjyllands Storkreds
Michael Nielsen,Moderaterne,Vestjyllands Storkreds
Morten E.G. Brautsch,Moderaterne,Vestjyllands Storkreds
Casper Hindkjær,Radikale Venstre,Vestjyllands Storkreds
Hanne Frølund,Radikale Venstre,Vestjyllands Storkreds
Johan Brødsgaard,Radikale Venstre,Vestjyllands Storkreds
Kim Pagels,Radikale Venstre,Vestjyllands Storkreds
Lone Kjær Hein,Radikale Venstre,Vestjyllands Storkreds
Peter Vestergaard,Radikale Venstre,Vestjyllands Storkreds
Philip Vivet,Radikale Venstre,Vestjyllands Storkreds
Anders Bøge,SF - Socialistisk Folkeparti,Vestjyllands Storkreds
Bente Refslund,SF - Socialistisk Folkeparti,Vestjyllands Storkreds
Emma Thorup Jacobsen,SF - Socialistisk Folkeparti,Vestjyllands Storkreds
Niels Kristian Larsen,SF - Socialistisk Folkeparti,Vestjyllands Storkreds
Nils Brøgger,SF - Socialistisk Folkeparti,Vestjyllands Storkreds
Signe Munk,SF - Socialistisk Folkeparti,Vestjyllands Storkreds
Anders Andreasen,Socialdemokratiet,Vestjyllands Storkreds
Anne Paulin,Socialdemokratiet,Vestjyllands Storkreds
Eva Borchorst Mejnertz,Socialdemokratiet,Vestjyllands Storkreds
Kasper B.G. Lauritsen,Socialdemokratiet,Vestjyllands Storkreds
Katrine Evelyn Jensen,Socialdemokratiet,Vestjyllands Storkreds
Lars Fibæk,Socialdemokratiet,Vestjyllands Storkreds
Lise Jørgensen,Socialdemokratiet,Vestjyllands Storkreds
Mogens Jensen,Socialdemokratiet,Vestjyllands Storkreds
Per Kamp Stefansen,Socialdemokratiet,Vestjyllands Storkreds
Peter Kempf Pedersen,Socialdemokratiet,Vestjyllands Storkreds
Vinnie Borbjerg,Socialdemokratiet,Vestjyllands Storkreds
Knud Gaarn-Larsen,Uden for partierne,Vestjyllands Storkreds
Erik Flyvholm,Venstre,Vestjyllands Storkreds
Frederik Houmann Thuesen,Venstre,Vestjyllands Storkreds
