row_type,party_name,party_order,party_votes,party_percentage,opstillingsform,nomination_label,polling_label,polling_url,election_id,nomination_district_id,polling_district_id,label,votes,percentage,error
party_list_votes,SF - Socialistisk Folkeparti,5,,,,Aabenraakredsen,Aabenraa Midt,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/4acce493-a74a-4df8-8a41-6ed0d3ff091c,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,4acce493-a74a-4df8-8a41-6ed0d3ff091c,Partistemmer,159,,
party,Liberal Alliance,6,123,"-321 -5,5%",Prioriteret sideordnet med valg på personlige stemmer,Aabenraakredsen,Aabenraa Midt,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/4acce493-a74a-4df8-8a41-6ed0d3ff091c,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,4acce493-a74a-4df8-8a41-6ed0d3ff091c,,,,
party_list_votes,Liberal Alliance,6,,,,Aabenraakredsen,Aabenraa Midt,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/4acce493-a74a-4df8-8a41-6ed0d3ff091c,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,4acce493-a74a-4df8-8a41-6ed0d3ff091c,Partistemmer,69,,
party,Kristendemokraterne,7,108,"+46 +0,8%",Prioriteret sideordnet,Aabenraakredsen,Aabenraa Midt,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/4acce493-a74a-4df8-8a41-6ed0d3ff091c,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,4acce493-a74a-4df8-8a41-6ed0d3ff091c,,,,
party_list_votes,Kristendemokraterne,7,,,,Aabenraakredsen,Aabenraa Midt,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/4acce493-a74a-4df8-8a41-6ed0d3ff091c,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,4acce493-a74a-4df8-8a41-6ed0d3ff091c,Partistemmer,76,,
party,Dansk Folkeparti,8,676,"-842 -14,4%",Prioriteret sideordnet med valg på personlige stemmer,Aabenraakredsen,Aabenraa Midt,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/4acce493-a74a-4df8-8a41-6ed0d3ff091c,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,4acce493-a74a-4df8-8a41-6ed0d3ff091c,,,,
party_list_votes,Dansk Folkeparti,8,,,,Aabenraakredsen,Aabenraa Midt,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/4acce493-a74a-4df8-8a41-6ed0d3ff091c,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,4acce493-a74a-4df8-8a41-6ed0d3ff091c,Partistemmer,263,,
party,Stram Kurs,9,106,"+106 +1,8%",Prioriteret sideordnet,Aabenraakredsen,Aabenraa Midt,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/4acce493-a74a-4df8-8a41-6ed0d3ff091c,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,4acce493-a74a-4df8-8a41-6ed0d3ff091c,,,,
party_list_votes,Stram Kurs,9,,,,Aabenraakredsen,Aabenraa Midt,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/4acce493-a74a-4df8-8a41-6ed0d3ff091c,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,4acce493-a74a-4df8-8a41-6ed0d3ff091c,Partistemmer,91,,
party,"Venstre, Danmarks Liberale Parti",10,1532,"+224 +4,0%",Prioriteret sideordnet,Aabenraakredsen,Aabenraa Midt,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/4acce493-a74a-4df8-8a41-6ed0d3ff091c,847cec19-05ff-4eff-b433-f0e886b24b7d,53032a04-51f7-4ea4-ba37-f6322ccc8979,4acce493-a74a-4df8-8a41-6ed0d3ff091c,,,,
