nomination_label,nomination_url,polling_label,polling_url
Aabenraakredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979,Tinglev,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/f8a22fa8-fe3d-4d26-9e4a-7b8873db9573
Aabenraakredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979,Varnæs,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/53032a04-51f7-4ea4-ba37-f6322ccc8979/polling-district/05237cca-ef0e-46da-84d8-5ab0f8ad3f8a
Aakirkebykredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/e388f43e-9a0f-4bc2-8ed7-70f8e3fa1368,Aakirkeby,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/e388f43e-9a0f-4bc2-8ed7-70f8e3fa1368/polling-district/5bf84459-e98b-4f0c-8869-00c8061cf25e
Aakirkebykredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/e388f43e-9a0f-4bc2-8ed7-70f8e3fa1368,Allinge,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/e388f43e-9a0f-4bc2-8ed7-70f8e3fa1368/polling-district/bfdbdfd1-6d12-4f64-b4ac-38004c108c38
Aakirkebykredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/e388f43e-9a0f-4bc2-8ed7-70f8e3fa1368,Christiansø,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/e388f43e-9a0f-4bc2-8ed7-70f8e3fa1368/polling-district/67e2468e-4126-46cf-986d-faf16a80e68c
Aakirkebykredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/e388f43e-9a0f-4bc2-8ed7-70f8e3fa1368,Nexø,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/e388f43e-9a0f-4bc2-8ed7-70f8e3fa1368/polling-district/5e6ad5f3-9267-4ead-9b98-a0c3e11c73aa
Aakirkebykredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/e388f43e-9a0f-4bc2-8ed7-70f8e3fa1368,Pedersker,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/e388f43e-9a0f-4bc2-8ed7-70f8e3fa1368/polling-district/8a17a4b4-283e-4792-be7d-b61181c6d943
Aakirkebykredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/e388f43e-9a0f-4bc2-8ed7-70f8e3fa1368,Svaneke,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/e388f43e-9a0f-4bc2-8ed7-70f8e3fa1368/polling-district/4eda0c35-0c83-4993-8942-901a7fc99ac1
Aakirkebykredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/e388f43e-9a0f-4bc2-8ed7-70f8e3fa1368,Østermarie,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/e388f43e-9a0f-4bc2-8ed7-70f8e3fa1368/polling-district/53f31693-a4bb-471c-987d-1b6ade0fde83
Aalborg Nordkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/df0660ed-e64a-403f-b7a3-81e04d89bf8e,Aalborghallen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/df0660ed-e64a-403f-b7a3-81e04d89bf8e/polling-district/8fdb2afa-3c2e-4781-b381-9b65c4028e0a
Aalborg Nordkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/df0660ed-e64a-403f-b7a3-81e04d89bf8e,"Gl. Lindholm Skole, Kulturhus",https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/df0660ed-e64a-403f-b7a3-81e04d89bf8e/polling-district/25d9ce7d-66b5-4308-983d-ed4603d13b9b
Aalborg Nordkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/df0660ed-e64a-403f-b7a3-81e04d89bf8e,Hals Skole,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/df0660ed-e64a-403f-b7a3-81e04d89bf8e/polling-district/72a1a719-18df-4ba6-8932-cb1b48d54c82
Aalborg Nordkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/df0660ed-e64a-403f-b7a3-81e04d89bf8e,Løvvanghallen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/df0660ed-e64a-403f-b7a3-81e04d89bf8e/polling-district/48a69402-b713-4e9e-9d3f-65a461afe046
Aalborg Nordkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/df0660ed-e64a-403f-b7a3-81e04d89bf8e,Multihallen Ved Vadumhallen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/df0660ed-e64a-403f-b7a3-81e04d89bf8e/polling-district/755ad611-6a03-48dc-92b7-54575aad4dca
Aalborg Nordkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/df0660ed-e64a-403f-b7a3-81e04d89bf8e,Sulsted Skolehal,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/df0660ed-e64a-403f-b7a3-81e04d89bf8e/polling-district/633c0d05-968c-4ab2-bb3e-565d41dc11b9
Aalborg Nordkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/df0660ed-e64a-403f-b7a3-81e04d89bf8e,Ulstedhallen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/df0660ed-e64a-403f-b7a3-81e04d89bf8e/polling-district/33c7fdf6-75df-4ec5-8ff2-4d821f4d0e2a
Aalborg Nordkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/df0660ed-e64a-403f-b7a3-81e04d89bf8e,Vester Hassing Hallen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/df0660ed-e64a-403f-b7a3-81e04d89bf8e/polling-district/a38dcc88-8014-42e5-a74f-e509b0bbc771
Aalborg Nordkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/df0660ed-e64a-403f-b7a3-81e04d89bf8e,Vodskov Kultur & Idrætscenter,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/df0660ed-e64a-403f-b7a3-81e04d89bf8e/polling-district/20f14b4d-bd2f-40eb-85b9-41a34cfbb6fe
Aalborg Vestkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/f07bffdf-68c5-4224-9d32-3495b6e2317d,Farstruphallen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/f07bffdf-68c5-4224-9d32-3495b6e2317d/polling-district/373b1c4f-2743-4c56-ac0d-994be4ceeacd
Aalborg Vestkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/f07bffdf-68c5-4224-9d32-3495b6e2317d,Ferslev Skolehal,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/f07bffdf-68c5-4224-9d32-3495b6e2317d/polling-district/9107c67f-fa1f-4992-853f-9edb5f954b23
Aalborg Vestkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/f07bffdf-68c5-4224-9d32-3495b6e2317d,Frejlev Skoles Idrætshal,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/f07bffdf-68c5-4224-9d32-3495b6e2317d/polling-district/edefcb6f-a110-4955-b13a-26fa1da31dcc
Aalborg Vestkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/f07bffdf-68c5-4224-9d32-3495b6e2317d,Hallen Ved Skalborggård,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/f07bffdf-68c5-4224-9d32-3495b6e2317d/polling-district/aadd23de-6961-407d-8942-065cff629709
Aalborg Vestkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/f07bffdf-68c5-4224-9d32-3495b6e2317d,Haraldslund,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/f07bffdf-68c5-4224-9d32-3495b6e2317d/polling-district/eed2054a-3a91-4857-9261-a0e439f5517e
Aalborg Vestkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/f07bffdf-68c5-4224-9d32-3495b6e2317d,Kfum - Hallen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/f07bffdf-68c5-4224-9d32-3495b6e2317d/polling-district/7e01ff9b-e27a-4781-b8e0-81494285c99e
Aalborg Vestkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/f07bffdf-68c5-4224-9d32-3495b6e2317d,Kærbyskolen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/f07bffdf-68c5-4224-9d32-3495b6e2317d/polling-district/211cf489-aaa8-47d9-8351-a4bbbd5ef76c
Aalborg Vestkredsen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/f07bffdf-68c5-4224-9d32-3495b6e2317d,Nibe Hallen,https://valg.dk/fv/847cec19-05ff-4eff-b433-f0e886b24b7d/nomination-district/f07bffdf-68c5-4224-9d32-3495b6e2317d/polling-district/45e17dc2-5fcd-4ec2-9280-963d3d3eeb62
