"tiktok_handle","display_name","party_name","videos","views","likes","comments","shares","saves"
"ibrahimbenli4","Ibrahim Benli","Enhedslisten - De Rød-Grønne","7","37285","1623","81","163","84"
"konservativungdom","Konservativ Ungdom","Det Konservative Folkeparti","9","36763","1289","69","90","78"
"kikibach0","Kiki Bille Bach","Socialdemokratiet","11","35650","446","10","111","20"
"liberalungdom","Liberal Alliances Ungdom","Liberal Alliance","18","35516","1606","60","113","54"
"tobias.b.mikkelsen","Tobias Brus Mikkelsen","Dansk Folkeparti","17","34462","382","15","31","48"
"mikael_winther","Mikael Winther","Alternativet","44","34234","542","81","35","23"
"lone.hansen0","Lone Hansen","Moderaterne","105","34220","528","64","35","18"
"jesperbierbaumvenstre","Jesper Bierbaum","Venstre","29","33370","613","40","38","38"
"saschafaxe1","Sascha Faxe","Alternativet","17","33084","1229","70","32","55"
"mohammad_rona","Mohammad Rona","Moderaterne","15","31473","821","50","85","69"
"saratvillingla","Sara Tvilling","Liberal Alliance","20","31009","548","26","31","27"
"politikkersimonkollerup","Simon Kollerup","Socialdemokratiet","10","30073","832","13","120","35"
"caarolinacamaraa","Carolina Cámara","Enhedslisten - De Rød-Grønne","16","27899","1964","165","102","67"
"phillipsperling1","Phillip Sperling","Venstre","12","27315","658","145","72","44"
"thomasmajgaardbyr","Thomas Majgaard Byrsing","Danmarksdemokraterne - Inger Støjberg","19","24760","479","53","15","32"
"mathildee.vintherr","Mathilde Vinther","Enhedslisten - De Rød-Grønne","12","23996","1196","51","56","60"
"radikalungdom","Radikal Ungdom","Radikale Venstre","15","22494","1052","65","26","45"
"thomasskovgaard44","Thomas Skovgaard","Moderaterne","24","20859","397","48","8","25"
"liberalbulldozer","Steffen Larsen","Liberal Alliance","5","20639","1213","45","31","59"
"ellenemilie_","Ellen Emilie","Moderaterne","27","20205","785","11","86","78"
"magnusvondreiager","Magnus Von Dreiager","Det Konservative Folkeparti","8","19979","419","11","103","16"
"michael.valbjrn","Michael Valbjørn","Liberal Alliance","16","18400","417","4","49","31"
"anderspeterhansenla","Anders Peter Hansen","Liberal Alliance","23","16711","621","53","27","22"
"zeynepbardakci7","Zeynep Bardakci","Venstre","4","16117","159","12","61","24"
"rasmuslundnielsen_","Rasmus Lund-Nielsen","Moderaterne","8","16040","621","8","12","31"
"sandagern","Nicolai Sandager","Liberal Alliance","7","15469","420","25","23","20"
"rgu.aarhus","RGU Aarhus","Enhedslisten - De Rød-Grønne","7","15307","1049","77","85","65"
"venstre_odense","Venstre Odense","Venstre","4","15199","236","20","26","14"
"frederikklakk","Frederik Klakk","Liberal Alliance","11","14447","300","20","25","7"
"socialdemokrat_horsholm_","Socialdemokratiet Hørsholm","Socialdemokratiet","19","13197","254","26","59","14"
"jeannebergmansensf","Jeanne Bergmansen","SF - Socialistisk Folkeparti","11","10395","277","27","11","7"
"brill1977","John Brill Engkebølle","Danmarksdemokraterne - Inger Støjberg","14","10293","151","10","37","16"
"reza_javid","Reza Javid","Enhedslisten - De Rød-Grønne","3","9441","153","23","9","7"
"malenesandfeld","Malene Sandfeld","Venstre","2","9169","196","8","179","10"
"steffen.friis","Steffen Friis","Liberal Alliance","12","8828","207","17","17","14"
"pil_christensen","Pil Christensen","Enhedslisten - De Rød-Grønne","8","8115","427","20","11","14"
"venstre.marcusdanielsson","Marcus Danielsson","Venstre","18","8000","143","9","16","4"
"kimgaarsdahl","Kim Gaarsdahl","Liberal Alliance","8","7569","156","2","4","14"
"leila.stockmarr","Leila Stockmarr","Enhedslisten - De Rød-Grønne","4","6963","405","12","31","37"
"zenia.stampe","Zenia Stampe","Radikale Venstre","1","6917","376","12","40","20"
"edith_vels","Edith Vels","Enhedslisten - De Rød-Grønne","6","6367","317","27","2","22"
"michael.raskliber","Michael Rask","Liberal Alliance","8","5514","132","7","16","2"
"brownlouise","Louise Brown","Liberal Alliance","3","5397","161","29","8","11"
"df.danmark","DF Danmark","Dansk Folkeparti","16","5308","358","23","8","14"
"kammitz3","Katarina Ammitzbøll","Venstre","8","5153","76","3","5","8"
"simonmeyeroff","Simon Meyer Off","SF - Socialistisk Folkeparti","16","5089","110","10","5","2"
"leneburchardt","Lene Burchardt","Det Konservative Folkeparti","5","3725","43","0","27","4"
"razfreedom","Rashid Ali","Uden for partierne","5","3555","64","0","2","2"
"morten.hell.moder","Morten Hell","Moderaterne","8","3518","144","6","12","8"
"runebonnelykke","Rune Bønnelykke","Dansk Folkeparti","4","3349","74","4","12","2"
"john.erik.wagner1","John Erik Wagner","Uden for partierne","8","3188","90","5","15","8"
"dsu_snderborg","DSU Sønderborg","Socialdemokratiet","3","2955","90","1","3","3"
"hollymarieturner","Holly Marie Turner","Enhedslisten - De Rød-Grønne","9","2238","192","9","1","3"
"barbarakrarup","Barbara Krarup Hansen","Radikale Venstre","2","1369","7","2","1","0"
"svends047","Svend Stein Olsen","Liberal Alliance","1","504","27","2","5","1"
"anette.jensen.smi","Anette Jensen Smith","Alternativet","1","375","5","0","0","0"
"stemstokholm","Kristian Stokholm","Radikale Venstre","1","298","1","0","0","1"
