"year","party_name","total_votes","candidate_rows","unique_candidates"
"2026","Socialdemokratiet","369428","13633","93"
"2026","Venstre, Danmarks Liberale Parti","235636","13263","88"
"2026","SF - Socialistisk Folkeparti","180086","12413","86"
"2026","Det Konservative Folkeparti","133656","13623","92"
"2026","Dansk Folkeparti","126849","9610","62"
"2026","Liberal Alliance","117371","16447","107"
"2026","Moderaterne","101563","7700","54"
"2026","Radikale Venstre","100983","11729","83"
"2026","Enhedslisten - De Rød-Grønne","97372","12314","86"
"2026","Danmarksdemokraterne - Inger Støjberg","75770","7442","47"
"2026","Alternativet","44532","13589","95"
"2026","Borgernes Parti - Lars Boje Mathiesen","22238","4922","34"
"2026","Uden for parti","2436","616","6"
