"year","party_name","total_votes","candidate_rows","unique_candidates"
"2019","Socialdemokratiet","501661","14198","94"
"2019","Venstre, Danmarks Liberale Parti","488780","14108","93"
"2019","Radikale Venstre","156448","11358","77"
"2019","Dansk Folkeparti","136546","14108","93"
"2019","SF - Socialistisk Folkeparti","133273","11694","77"
"2019","Det Konservative Folkeparti","119753","10608","70"
"2019","Enhedslisten - De Rød-Grønne","93840","12563","84"
"2019","Alternativet","44057","11822","79"
"2019","Liberal Alliance","34717","8240","54"
"2019","Nye Borgerlige","32949","9257","59"
"2019","Kristendemokraterne","30881","10163","66"
"2019","Stram Kurs","17817","3805","25"
"2019","Klaus Riskær Pedersen","5470","2327","16"
"2019","Uden for parti","2754","1502","13"
