party_name,storkreds,candidate_name
Alternativet,Nordjyllands Storkreds,Anna Bjerre
Alternativet,Nordjyllands Storkreds,Anne-Marie Hemmeth
Alternativet,Nordjyllands Storkreds,Emil Sloth
SF - Socialistisk Folkeparti,Nordjyllands Storkreds,Christina Lykke
SF - Socialistisk Folkeparti,Nordjyllands Storkreds,Henning Jørgensen
SF - Socialistisk Folkeparti,Nordjyllands Storkreds,Melina Andersen
SF - Socialistisk Folkeparti,Nordjyllands Storkreds,Peder Larsen
SF - Socialistisk Folkeparti,Nordjyllands Storkreds,Thomas Kjeldsen
Alternativet,Nordsjællands Storkreds,Helene Brydensholt
Alternativet,Nordsjællands Storkreds,Ingrid Heintz
Alternativet,Nordsjællands Storkreds,Mariane Lunden
Alternativet,Nordsjællands Storkreds,Nanna Høyrup
Alternativet,Nordsjællands Storkreds,Rasmus Harning
Alternativet,Nordsjællands Storkreds,Simon Rigét
SF - Socialistisk Folkeparti,Nordsjællands Storkreds,Anja Rosengreen
SF - Socialistisk Folkeparti,Nordsjællands Storkreds,Jens Skov
Alternativet,Sjællands Storkreds,Elise Sydendal
Alternativet,Sjællands Storkreds,Isabella Apelroth
Alternativet,Sjællands Storkreds,Jacob Antvorskov
Alternativet,Sjællands Storkreds,Lars König
Alternativet,Sjællands Storkreds,Line Gessø
Alternativet,Sjællands Storkreds,Mette Friis
Alternativet,Sjællands Storkreds,Sascha Faxe
Alternativet,Sjællands Storkreds,Valentina Crast
Alternativet,Sjællands Storkreds,Yurdal Cicek
SF - Socialistisk Folkeparti,Sjællands Storkreds,Astrid Carøe
SF - Socialistisk Folkeparti,Sjællands Storkreds,Jesper Hartøft
SF - Socialistisk Folkeparti,Sjællands Storkreds,Michael Graakjær
Alternativet,Sydjyllands Storkreds,Bodil Nielsen
Alternativet,Sydjyllands Storkreds,Carsten Sohl
Alternativet,Sydjyllands Storkreds,Mikael Hertig
SF - Socialistisk Folkeparti,Sydjyllands Storkreds,Jørgen Kvist
SF - Socialistisk Folkeparti,Sydjyllands Storkreds,Magnus Flensborg
SF - Socialistisk Folkeparti,Sydjyllands Storkreds,Sofus Teislev
SF - Socialistisk Folkeparti,Sydjyllands Storkreds,Timm Bøttger
Alternativet,Vestjyllands Storkreds,Peter Bilgrav
Alternativet,Vestjyllands Storkreds,Steffen Tolstrup
SF - Socialistisk Folkeparti,Vestjyllands Storkreds,Anders Bøge
SF - Socialistisk Folkeparti,Vestjyllands Storkreds,Bente Refslund
SF - Socialistisk Folkeparti,Vestjyllands Storkreds,Nils Brøgger
Alternativet,Østjyllands Storkreds,Bjørn Olsen
Alternativet,Østjyllands Storkreds,Karina Konrad
Alternativet,Østjyllands Storkreds,Kim Sørensen
Alternativet,Østjyllands Storkreds,Lissi Bagge
Alternativet,Østjyllands Storkreds,Pernille Skærsø
Alternativet,Østjyllands Storkreds,Tina Kjær
SF - Socialistisk Folkeparti,Østjyllands Storkreds,Anna Brændemose
SF - Socialistisk Folkeparti,Østjyllands Storkreds,Carina Sarkkinen
SF - Socialistisk Folkeparti,Østjyllands Storkreds,Charlotte Vindeløv
SF - Socialistisk Folkeparti,Bornholms Storkreds,Sebastian Bloch Jensen
Alternativet,Fyns Storkreds,Ole Dupont Kofod
SF - Socialistisk Folkeparti,Fyns Storkreds,Johannes Skov Pedersen
Alternativet,Københavns Omegns Storkreds,Nana Løcke Buttenschøn
SF - Socialistisk Folkeparti,Københavns Omegns Storkreds,Alexander Bruhn Skjøth
SF - Socialistisk Folkeparti,Københavns Omegns Storkreds,Sofie F. Villadsen
SF - Socialistisk Folkeparti,Københavns Omegns Storkreds,Troels Stru Schmidt
SF - Socialistisk Folkeparti,Københavns Omegns Storkreds,Vivi Nør Jacobsen
Alternativet,Københavns Storkreds,Catharina Næsby Malkki
Alternativet,Københavns Storkreds,Jakob Ravn Karlsen
Alternativet,Københavns Storkreds,Jiesper Tristan Pedersen
Alternativet,Københavns Storkreds,Nikolai Eskild Jensen
Alternativet,Københavns Storkreds,Peter Martin Jakobsen
Alternativet,Københavns Storkreds,Roger Courage Matthisen
SF - Socialistisk Folkeparti,Københavns Storkreds,Bjarke Bisgaard Yolal
SF - Socialistisk Folkeparti,Københavns Storkreds,Kasper Nordborg Kiær
Alternativet,Nordjyllands Storkreds,Anette Jensen Smith
SF - Socialistisk Folkeparti,Nordjyllands Storkreds,Morten Bo Bertelsen
Alternativet,Nordsjællands Storkreds,Morten Hvidberg Greve
Alternativet,Nordsjællands Storkreds,Salik Anders Rosing
Alternativet,Nordsjællands Storkreds,Sofie Faureholm Lundsberg
Alternativet,Nordsjællands Storkreds,Tine Loft Thomsen
SF - Socialistisk Folkeparti,Nordsjællands Storkreds,Elias Julius Binggeli
SF - Socialistisk Folkeparti,Nordsjællands Storkreds,Stina Egedius Miller
Alternativet,Sjællands Storkreds,Allan Hansen Lindemark
Alternativet,Sjællands Storkreds,Liselotte Katarina Rotfeld
SF - Socialistisk Folkeparti,Sjællands Storkreds,Anne Valentina Berthelsen
SF - Socialistisk Folkeparti,Sjællands Storkreds,Kristine Amalie Rostgård
SF - Socialistisk Folkeparti,Sjællands Storkreds,Martin Graff Jørgensen
Alternativet,Sydjyllands Storkreds,Ane Line Søndergaard
Alternativet,Sydjyllands Storkreds,Hans Biering Fonsbøl
SF - Socialistisk Folkeparti,Sydjyllands Storkreds,Christian Mutwa Christensen
SF - Socialistisk Folkeparti,Sydjyllands Storkreds,Karina Lorentzen Dehnhardt
Alternativet,Vestjyllands Storkreds,Didde Krabbe Johannesen
Alternativet,Vestjyllands Storkreds,Lina Sikora Christiansen
Alternativet,Vestjyllands Storkreds,Nicklas Stampe Raabjerg
SF - Socialistisk Folkeparti,Vestjyllands Storkreds,Niels Kristian Larsen
Alternativet,Østjyllands Storkreds,Gitte Dreier Jacobsen
Alternativet,Østjyllands Storkreds,Hanne K. Mortensen
Alternativet,Østjyllands Storkreds,Juma Nellemann Kruse
Alternativet,Østjyllands Storkreds,Mads Damgaard Mortensen
Alternativet,Østjyllands Storkreds,Nikoline Erbs Hillers-Bendtsen
Alternativet,Østjyllands Storkreds,Sasja Elkjær Krogsdal
Alternativet,Østjyllands Storkreds,Tenna Duch Schaldemose
Alternativet,Østjyllands Storkreds,Thor Clasen Jonasen
SF - Socialistisk Folkeparti,Østjyllands Storkreds,Charlotte Broman Mølbæk
SF - Socialistisk Folkeparti,Østjyllands Storkreds,Morten Siig Henriksen
SF - Socialistisk Folkeparti,Østjyllands Storkreds,Paw Hedegaard Amdisen
SF - Socialistisk Folkeparti,Østjyllands Storkreds,Rasmus T. Mortensen
SF - Socialistisk Folkeparti,Østjyllands Storkreds,Søren Lahn Sloth
SF - Socialistisk Folkeparti,Fyns Storkreds,Anna Katrine Leth Rehn
SF - Socialistisk Folkeparti,Københavns Storkreds,Cecilie Louise Balbay Holdt
Alternativet,Sydjyllands Storkreds,Coco Mette Cecilie Kjærgaard
Alternativet,Østjyllands Storkreds,Steffen Hedegaard Attermann Brinch
Moderaterne,Bornholms Storkreds,Lasse Oszadlik
Moderaterne,Fyns Storkreds,Andreas Lausen
Moderaterne,Fyns Storkreds,Lars Aagaard
Moderaterne,Fyns Storkreds,Rosa Eriksen
Moderaterne,Københavns Omegns Storkreds,Betina Asbæk
Moderaterne,Københavns Omegns Storkreds,Dorthe Beck-Nyling
Moderaterne,Københavns Omegns Storkreds,Monika Rubin
Moderaterne,Nordjyllands Storkreds,Morten Arvidsson
Moderaterne,Nordsjællands Storkreds,Charlotte Haagendrup
Moderaterne,Sjællands Storkreds,Brian Perri
Moderaterne,Sjællands Storkreds,Kasper Nygaard
Moderaterne,Sjællands Storkreds,Mogens Haugaard
Moderaterne,Sydjyllands Storkreds,Frida Bruun
Moderaterne,Sydjyllands Storkreds,Henrik Frandsen
Moderaterne,Vestjyllands Storkreds,Martin Sanderhoff
Moderaterne,Østjyllands Storkreds,Caroline Stage
Moderaterne,Østjyllands Storkreds,Christina Egelund
Moderaterne,Østjyllands Storkreds,Peter Have
Moderaterne,Østjyllands Storkreds,Susan Kronborg
Moderaterne,Bornholms Storkreds,Kirstine van Sabben
Moderaterne,Københavns Storkreds,Lisbeth Dam Larsen
Moderaterne,Københavns Storkreds,Nanna W. Gotfredsen
Moderaterne,Nordjyllands Storkreds,Ditte Ravn Kaagaard
Moderaterne,Sjællands Storkreds,Frida Qvist Kristensen
Moderaterne,Sjællands Storkreds,Lars Løkke Rasmussen
Moderaterne,Sjællands Storkreds,Mia Linda Møller
Moderaterne,Vestjyllands Storkreds,Morten E.G. Brautsch
Moderaterne,Østjyllands Storkreds,Sara Pernille Jespersen
Enhedslisten - De Rød-Grønne,Bornholms Storkreds,Asta Kofod
Enhedslisten - De Rød-Grønne,Bornholms Storkreds,Morten Riis
Enhedslisten - De Rød-Grønne,Fyns Storkreds,Jesper Kiel
Enhedslisten - De Rød-Grønne,Fyns Storkreds,Kaj Alstrup
Enhedslisten - De Rød-Grønne,Fyns Storkreds,Mette Skaarup
Enhedslisten - De Rød-Grønne,Fyns Storkreds,Stine Øllegaard
Enhedslisten - De Rød-Grønne,Fyns Storkreds,Torsten Ringgaard
Enhedslisten - De Rød-Grønne,Fyns Storkreds,Victoria Velásquez
Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,Bianca Vitting
Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,Clara Turms
Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,Emil Viskum
Radikale Venstre,Københavns Omegns Storkreds,Christina Falkberg
Radikale Venstre,Københavns Omegns Storkreds,Jens Frost
Radikale Venstre,Københavns Omegns Storkreds,Stinus Lindgreen
Radikale Venstre,Københavns Omegns Storkreds,Trine Dybkjær
Enhedslisten - De Rød-Grønne,Københavns Storkreds,David Rønne
Enhedslisten - De Rød-Grønne,Københavns Storkreds,Pil Yildiz
Enhedslisten - De Rød-Grønne,Københavns Storkreds,Reinout Bosch
Radikale Venstre,Københavns Storkreds,Anne-Sofie Sadolin
Radikale Venstre,Københavns Storkreds,Emil Moselund
Radikale Venstre,Københavns Storkreds,Frederik Rosberg
Radikale Venstre,Københavns Storkreds,Helene Langager
Radikale Venstre,Københavns Storkreds,Julie Herdal
Radikale Venstre,Københavns Storkreds,Marianne Mortensen
Radikale Venstre,Københavns Storkreds,Thomas Markmann
Radikale Venstre,Københavns Storkreds,Thomas Rohden
Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds,Berit Raldin
Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds,Christina Eilers
Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds,Hans Jensen
Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds,Lasse Olsen
Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds,Peder Hvelplund
Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds,Ulrik Appel
Radikale Venstre,Nordjyllands Storkreds,Dorthe Kerschus
Radikale Venstre,Nordjyllands Storkreds,Gorm Simonsen
Radikale Venstre,Nordjyllands Storkreds,Jacob Robsøe
Radikale Venstre,Nordjyllands Storkreds,Marie Wandel
Radikale Venstre,Nordjyllands Storkreds,Pia Elberg
Radikale Venstre,Nordjyllands Storkreds,Susanne Krebs
Radikale Venstre,Nordjyllands Storkreds,Torsten Wetche
Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,Annie Hagel
