candidate_name,party_name,storkreds,query_used,search_engine,query_phase,result_title,result_snippet,profile_url,profile_handle,handle_score,name_score,party_score,context_score,total_score,status
Katrine Daugaard,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Katrine Daugaard""",ddg,1,#paratii | TikTok,"Aug 27, 2025 · 18. november X. Katrine Daugaard Christensen fik sat fut i Odense i dag. Odense har brug for en frisk start. |chim-bo-câu-bay-ở-lăng-bác|Unlock the 4 SMSF property hacks most Aussies ne",https://www.tiktok.com/@__dglzz,__dglzz,0,25,0,0,25,manual_review
Katrine Daugaard,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Katrine Daugaard""",ddg,1,HubCity Viclas (@hubcity.viclas) | TikTok,HubCity Viclas (@hubcity.viclas) on TikTok | 317 Likes. 431 Followers. Watch the latest video from HubCity Viclas (@hubcity.viclas).,https://www.tiktok.com/@hubcity.viclas,hubcity.viclas,0,0,8,0,8,manual_review
Katrine Daugaard,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Katrine Daugaard""",ddg,1,Khám Phá Cung Yến Hàng Châu - Trải Nghiệm ... - TikTok,"Nov 27, 2025 · Khám phá cung yến Hàng Châu - Yến tiệc dành cho vua chúa Nơi ẩm thực được nâng tầm nghệ thuật, mở ra trải nghiệm thị giác đẳng cấp, lung linh. #adavigo #adavigotravel #hangchau #trungqu",https://www.tiktok.com/@adavigo.com,adavigo.com,0,0,0,0,0,no_match
Katrine Daugaard,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""@katrinedaugaard""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22%40katrinedaugaard%22&engine=google&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Katrine Daugaard,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""@katrine.daugaard""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22%40katrine.daugaard%22&engine=brave&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Gustav Wilde,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Gustav Wilde""",ddg,1,Gustav Wilde (@megustav) | TikTok,Gustav Wilde (@megustav) on TikTok | 23 Followers. Watch the latest video from Gustav Wilde (@megustav).,https://www.tiktok.com/@megustav,megustav,0,25,8,0,33,manual_review
Gustav Wilde,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Gustav Wilde""",ddg,1,Rockie Pan Production (@rockiepanproduction)’s ... - TikTok,"175 Likes, TikTok video from Rockie Pan Production (@rockiepanproduction): “”. son original - Soso💕.",https://www.tiktok.com/@rockiepanproduction,rockiepanproduction,0,0,0,0,0,no_match
Gustav Wilde,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Gustav Wilde""",ddg,1,#ootd #leopard #fashiontok - TikTok,"Nov 4, 2025 · 69 Likes, TikTok video from sherries_world (@sherries_world): “🐆 #ootd #leopard #fashiontok”. original sound - ..",https://www.tiktok.com/@sherries_world,sherries_world,0,0,0,0,0,no_match
Gustav Wilde,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Gustav Wilde""",ddg,1,@suka makan - TikTok,"May 21, 2025 · Explore more: photo:7512551252132220216 | Winning in Zero Build Fortnite: An Epic Victory | pinki y oren 🙏 #sprunki #sprunkiincedibox #sprunkifandom #animationsprunki #sprunkipinki #spr",https://www.tiktok.com/@p4488oyy,p4488oyy,0,0,8,0,8,manual_review
Gustav Wilde,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Gustav Wilde""",ddg,1,But the cake smells amazing! #baker #bakery #bakestand # ...,"42 Likes, TikTok video from Cheeky Bites Bakery (@cheekybitesbakery): “But the cake smells amazing! #baker #bakery #bakestand #bakeshed #carrotcake”. Supposedly I should be posting all damn day long o",https://www.tiktok.com/@cheekybitesbakery,cheekybitesbakery,0,0,0,0,0,no_match
