candidate_name,party_name,storkreds,tiktok_handle,tiktok_url,handle_score,name_score,party_score,context_score,total_score,auto_status,review
"Michael Valbjørn","Liberal Alliance","Vestjyllands Storkreds","michael.valbjrn","https://www.tiktok.com/@michael.valbjrn","55","25","15","0","95","high_confidence","korrekt"
"Marianne Bigum","SF - Socialistisk Folkeparti","Nordsjællands Storkreds","mariannebigum","https://www.tiktok.com/@mariannebigum","55","25","15","0","95","high_confidence","korrekt"
"Andreas Raben","Moderaterne","Nordsjællands Storkreds","andreasraben","https://www.tiktok.com/@andreasraben","55","25","15","0","95","high_confidence","korrekt"
"Zenia Stampe","Radikale Venstre","Sjællands Storkreds","zenia.stampe","https://www.tiktok.com/@zenia.stampe","55","25","15","0","95","high_confidence","korrekt"
"Torsten Gejl","Alternativet","Østjyllands Storkreds","torsten.gejl","https://www.tiktok.com/@torsten.gejl","55","25","15","0","95","high_confidence","korrekt"
"Rasmus Vestergaard Madsen 7,","Enhedslisten - De Rød-Grønne","Sydjyllands Storkreds","rasmusvestergaardmadsen","https://www.tiktok.com/@rasmusvestergaardmadsen","55","25","15","0","95","high_confidence","korrekt"
"Pelle Dragsted","Enhedslisten - De Rød-Grønne","Københavns Storkreds","pelledragsted","https://www.tiktok.com/@pelledragsted","55","25","15","0","95","high_confidence","korrekt"
"Morten Dahlin","Venstre","Sjællands Storkreds","morten.dahlin","https://www.tiktok.com/@morten.dahlin","55","25","15","0","95","high_confidence","korrekt"
"Mads Olsen","SF - Socialistisk Folkeparti","Sjællands Storkreds","madsolsensf","https://www.tiktok.com/@madsolsensf","49","25","15","5","94","high_confidence","korrekt"
"Nick Zimmermann","Dansk Folkeparti","Østjyllands Storkreds","nick.zimmermann.df","https://www.tiktok.com/@nick.zimmermann.df","49","25","15","5","94","high_confidence","korrekt"
"Mette Reissmann","Socialdemokratiet","Københavns Storkreds","mette.reissmann","https://www.tiktok.com/@mette.reissmann","55","25","8","5","93","high_confidence","korrekt"
"Inger Støjberg","Danmarksdemokraterne - Inger Støjberg","Nordjyllands Storkreds","ingerstojberg","https://www.tiktok.com/@ingerstojberg","53","25","15","0","93","high_confidence","korrekt"
"Kim Andkjær Doberck","Dansk Folkeparti","Sydjyllands Storkreds","kimandkjaerdoberck","https://www.tiktok.com/@kimandkjaerdoberck","53","25","15","0","93","high_confidence","korrekt"
"Magnus Von Dreiager","Det Konservative Folkeparti","Københavns Omegns Storkreds","magnusvondreiager","https://www.tiktok.com/@magnusvondreiager","55","25","8","5","93","high_confidence","korrekt"
"Rikke Olssen","Liberal Alliance","Nordjyllands Storkreds","rikkeolssen","https://www.tiktok.com/@rikkeolssen","55","25","8","5","93","high_confidence","korrekt"
"Jeanne Bergmansen","SF - Socialistisk Folkeparti","Sjællands Storkreds","jeannebergmansensf","https://www.tiktok.com/@jeannebergmansensf","49","25","15","0","89","high_confidence","korrekt"
"Nadja Natalie Isaksen","Borgernes Parti - Lars Boje Mathiesen","Sydjyllands Storkreds","nadjaisaksen","https://www.tiktok.com/@nadjaisaksen","53","16","15","5","89","high_confidence","korrekt"
