candidate_name,party_name,storkreds,tiktok_handle,tiktok_url,handle_score,name_score,party_score,context_score,total_score,status
Nick Zimmermann,Dansk Folkeparti,Østjyllands Storkreds,nick.zimmermann.df,https://www.tiktok.com/@nick.zimmermann.df,49,25,15,5,94,high_confidence
Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,ingerstojberg,https://www.tiktok.com/@ingerstojberg,53,25,15,0,93,high_confidence
Kim Andkjær Doberck,Dansk Folkeparti,Sydjyllands Storkreds,kimandkjaerdoberck,https://www.tiktok.com/@kimandkjaerdoberck,53,25,15,0,93,high_confidence
Magnus Von Dreiager,Det Konservative Folkeparti,Københavns Omegns Storkreds,magnusvondreiager,https://www.tiktok.com/@magnusvondreiager,55,25,8,5,93,high_confidence
Mette Reissmann,Socialdemokratiet,Københavns Storkreds,mette.reissmann,https://www.tiktok.com/@mette.reissmann,55,25,8,5,93,high_confidence
Rikke Olssen,Liberal Alliance,Nordjyllands Storkreds,rikkeolssen,https://www.tiktok.com/@rikkeolssen,55,25,8,5,93,high_confidence
Jeanne Bergmansen,SF - Socialistisk Folkeparti,Sjællands Storkreds,jeannebergmansensf,https://www.tiktok.com/@jeannebergmansensf,49,25,15,0,89,high_confidence
Nadja Natalie Isaksen,Borgernes Parti - Lars Boje Mathiesen,Sydjyllands Storkreds,nadjaisaksen,https://www.tiktok.com/@nadjaisaksen,53,16,15,5,89,high_confidence
Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,alexvanopslagh,https://www.tiktok.com/@alexvanopslagh,55,25,8,0,88,high_confidence
Amanda Heitmann,Venstre,Fyns Storkreds,amanda_heitmann,https://www.tiktok.com/@amanda_heitmann,55,25,8,0,88,high_confidence
Anastasia Milthers,Radikale Venstre,Fyns Storkreds,anastasia_milthers,https://www.tiktok.com/@anastasia_milthers,55,25,8,0,88,high_confidence
Ayhan Kilic,Moderaterne,Nordsjællands Storkreds,ayhankilic,https://www.tiktok.com/@ayhankilic,55,25,8,0,88,high_confidence
Charlotte Green,Det Konservative Folkeparti,Østjyllands Storkreds,charlottegreen,https://www.tiktok.com/@charlottegreen,55,25,8,0,88,high_confidence
