candidate_name,party_name,storkreds,tiktok_handle,tiktok_url,handle_score,name_score,party_score,context_score,total_score,status
Malte Larsen,Socialdemokratiet,Østjyllands Storkreds,malte.larsen0,https://www.tiktok.com/@malte.larsen0,35,25,8,0,68,possible_match
Marcus Danielsson,Venstre,Sjællands Storkreds,marcusdanielsson17,https://www.tiktok.com/@marcusdanielsson17,35,25,8,0,68,possible_match
Michael Nielsen,Moderaterne,Vestjyllands Storkreds,michaelnielsen15,https://www.tiktok.com/@michaelnielsen15,35,25,8,0,68,possible_match
Michael Rask,Liberal Alliance,Sjællands Storkreds,michaelrask3,https://www.tiktok.com/@michaelrask3,35,25,8,0,68,possible_match
Nikolaj C. Andersen,Moderaterne,Nordjyllands Storkreds,nikolajandersen35,https://www.tiktok.com/@nikolajandersen35,35,25,8,0,68,possible_match
Pernille Christensen,Moderaterne,Nordsjællands Storkreds,pernillechristensen74,https://www.tiktok.com/@pernillechristensen74,35,25,8,0,68,possible_match
Rikke Christensen,Radikale Venstre,Østjyllands Storkreds,rikke_christensen14,https://www.tiktok.com/@rikke_christensen14,35,25,8,0,68,possible_match
Rikke Hansen,Borgernes Parti - Lars Boje Mathiesen,Københavns Storkreds,rikkehansen51,https://www.tiktok.com/@rikkehansen51,35,25,8,0,68,possible_match
Yildiz Akdogan,Socialdemokratiet,Københavns Storkreds,yildizakdogan33,https://www.tiktok.com/@yildizakdogan33,35,25,8,0,68,possible_match
Kristian Stokholm,Radikale Venstre,Sjællands Storkreds,stemstokholm,https://www.tiktok.com/@stemstokholm,18,25,15,5,63,possible_match
Malte Jäger,Liberal Alliance,Fyns Storkreds,maltejagerfyn,https://www.tiktok.com/@maltejagerfyn,18,25,15,5,63,possible_match
Simon Kollerup,Socialdemokratiet,Nordjyllands Storkreds,politikkersimonkollerup,https://www.tiktok.com/@politikkersimonkollerup,18,25,15,5,63,possible_match
Ali Yahya,SF - Socialistisk Folkeparti,Sjællands Storkreds,aliyahya1010,https://www.tiktok.com/@aliyahya1010,35,25,0,0,60,possible_match
Allan Holm,Borgernes Parti - Lars Boje Mathiesen,Fyns Storkreds,allanholm11,https://www.tiktok.com/@allanholm11,35,25,0,0,60,possible_match
Bo Nielsen,Alternativet,Sydjyllands Storkreds,bonielsen4,https://www.tiktok.com/@bonielsen4,35,25,0,0,60,possible_match
Emil Andersen,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,emil_andersen72,https://www.tiktok.com/@emil_andersen72,35,25,0,0,60,possible_match
Esat Senturk,Radikale Venstre,Københavns Omegns Storkreds,esatsenturkrv,https://www.tiktok.com/@esatsenturkrv,35,25,0,0,60,possible_match
Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,fatih.baran54,https://www.tiktok.com/@fatih.baran54,35,25,0,0,60,possible_match
Jacob Mark,SF - Socialistisk Folkeparti,Nordsjællands Storkreds,jacobmark_art,https://www.tiktok.com/@jacobmark_art,35,25,0,0,60,possible_match
Jan Schumann,Alternativet,Københavns Storkreds,janschumann5,https://www.tiktok.com/@janschumann5,35,25,0,0,60,possible_match
Jens Meilvang,Liberal Alliance,Østjyllands Storkreds,jensmeilvang165,https://www.tiktok.com/@jensmeilvang165,35,25,0,0,60,possible_match
Kim Hammer,Dansk Folkeparti,Københavns Omegns Storkreds,kimhammer2,https://www.tiktok.com/@kimhammer2,35,25,0,0,60,possible_match
Kim Larsen,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kim_larsen_dk,https://www.tiktok.com/@kim_larsen_dk,35,25,0,0,60,possible_match
Martin Rahn Johansen,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,martinrahnjohansendd,https://www.tiktok.com/@martinrahnjohansendd,35,25,0,0,60,possible_match
Michael Jensen,Dansk Folkeparti,Københavns Omegns Storkreds,michael.jensenn,https://www.tiktok.com/@michael.jensenn,35,25,0,0,60,possible_match
Peter Vestergaard,Radikale Venstre,Vestjyllands Storkreds,petervestergaard7,https://www.tiktok.com/@petervestergaard7,35,25,0,0,60,possible_match
Rashid Ali,Uden for partierne,Københavns Storkreds,rashid_ali664,https://www.tiktok.com/@rashid_ali664,35,25,0,0,60,possible_match
Rasmus Paludan,Uden for partierne,Københavns Storkreds,rasmuspaludanjokes,https://www.tiktok.com/@rasmuspaludanjokes,35,25,0,0,60,possible_match
Rasmus Petersen,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,rasmuspetersen17,https://www.tiktok.com/@rasmuspetersen17,35,25,0,0,60,possible_match
Signe Munk,SF - Socialistisk Folkeparti,Vestjyllands Storkreds,signe_munk1,https://www.tiktok.com/@signe_munk1,35,25,0,0,60,possible_match
Susanne Damsgaard,Danmarksdemokraterne - Inger Støjberg,Københavns Omegns Storkreds,susannedamsgaarddf,https://www.tiktok.com/@susannedamsgaarddf,35,25,0,0,60,possible_match
Thomas Hjort,Dansk Folkeparti,Nordjyllands Storkreds,thomashjort1,https://www.tiktok.com/@thomashjort1,35,25,0,0,60,possible_match
Zohair Ali,Radikale Venstre,Københavns Omegns Storkreds,zohairali088,https://www.tiktok.com/@zohairali088,35,25,0,0,60,possible_match
Maria Sørensen,Enhedslisten - De Rød-Grønne,Østjyllands Storkreds,mariasorensen2,https://www.tiktok.com/@mariasorensen2,34,25,0,0,59,possible_match
Anders Bo Larsen,Venstre,Københavns Omegns Storkreds,anderslarsen91,https://www.tiktok.com/@anderslarsen91,34,16,8,0,58,possible_match
Andreas Fjord Larsen,Venstre,Fyns Storkreds,andreaslarsen96,https://www.tiktok.com/@andreaslarsen96,34,16,8,0,58,possible_match
Barbara Krarup Hansen,Radikale Venstre,Sydjyllands Storkreds,barbarahansen1,https://www.tiktok.com/@barbarahansen1,34,16,8,0,58,possible_match
Christian Friis Bach,Venstre,Sjællands Storkreds,christianbach75,https://www.tiktok.com/@christianbach75,34,16,8,0,58,possible_match
Emma Juul Hansen,Det Konservative Folkeparti,Nordsjællands Storkreds,emmahansen25,https://www.tiktok.com/@emmahansen25,34,16,8,0,58,possible_match
Finn Hartvig Nielsen,Radikale Venstre,Sydjyllands Storkreds,finnnielsen0,https://www.tiktok.com/@finnnielsen0,34,16,8,0,58,possible_match
Frederik Blicher Pedersen,Liberal Alliance,Nordjyllands Storkreds,frederikpedersen95,https://www.tiktok.com/@frederikpedersen95,34,16,8,0,58,possible_match
Gitte Bjerremand Andersen,Moderaterne,Sydjyllands Storkreds,gitteandersen82,https://www.tiktok.com/@gitteandersen82,34,16,8,0,58,possible_match
Jakob Engel-Schmidt,Moderaterne,Københavns Storkreds,jakobschmidt5,https://www.tiktok.com/@jakobschmidt5,34,16,8,0,58,possible_match
Kim Alexander Jensen,Liberal Alliance,Sydjyllands Storkreds,kimjensen11,https://www.tiktok.com/@kimjensen11,34,16,8,0,58,possible_match
Michael Bang Pedersen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,michaelpedersen04,https://www.tiktok.com/@michaelpedersen04,34,16,8,0,58,possible_match
Nikolaj Brink Olsen,Liberal Alliance,Sjællands Storkreds,nikolajolsen5,https://www.tiktok.com/@nikolajolsen5,34,16,8,0,58,possible_match
Peter Kempf Pedersen,Socialdemokratiet,Vestjyllands Storkreds,peterpedersen3,https://www.tiktok.com/@peterpedersen3,34,16,8,0,58,possible_match
Rasmus Lund-Nielsen,Moderaterne,Nordsjællands Storkreds,rasmusnielsen44,https://www.tiktok.com/@rasmusnielsen44,34,16,8,0,58,possible_match
Stine Thier-Andersen,Det Konservative Folkeparti,Nordjyllands Storkreds,stine.andersen_dk,https://www.tiktok.com/@stine.andersen_dk,34,16,8,0,58,possible_match
Trine Birk Andersen,Socialdemokratiet,Sjællands Storkreds,trineandersen02,https://www.tiktok.com/@trineandersen02,34,16,8,0,58,possible_match
Mathias Sikora,Radikale Venstre,Østjyllands Storkreds,stem_sikora,https://www.tiktok.com/@stem_sikora,18,25,8,5,56,possible_match
Bo Vibe Ancher Jensen,Dansk Folkeparti,Bornholms Storkreds,bojensenxxx,https://www.tiktok.com/@bojensenxxx,34,18,0,0,52,possible_match
Anders Kronborg,Socialdemokratiet,Sydjyllands Storkreds,kronborg1982,https://www.tiktok.com/@kronborg1982,18,25,8,0,51,possible_match
Anja Lund,Venstre,Fyns Storkreds,visitlund,https://www.tiktok.com/@visitlund,18,25,8,0,51,possible_match
Anna Calero,Alternativet,Østjyllands Storkreds,ivannaacalero,https://www.tiktok.com/@ivannaacalero,18,25,8,0,51,possible_match
Dennis Flydtkjær,Danmarksdemokraterne - Inger Støjberg,Vestjyllands Storkreds,flydtkjaer,https://www.tiktok.com/@flydtkjaer,18,25,8,0,51,possible_match
Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,hediyedptemiz,https://www.tiktok.com/@hediyedptemiz,18,25,8,0,51,possible_match
Johan Emil Sevelsted,Det Konservative Folkeparti,Fyns Storkreds,je.sevelsted,https://www.tiktok.com/@je.sevelsted,18,25,8,0,51,possible_match
Line Randa,Moderaterne,Nordjyllands Storkreds,randa__hajjaj,https://www.tiktok.com/@randa__hajjaj,18,25,8,0,51,possible_match
Morten Sørensen,Det Konservative Folkeparti,Østjyllands Storkreds,msorensen94,https://www.tiktok.com/@msorensen94,18,25,8,0,51,possible_match
Nicolai Sandager,Liberal Alliance,Sjællands Storkreds,sandagern,https://www.tiktok.com/@sandagern,18,25,8,0,51,possible_match
Peter Larsen,Liberal Alliance,Nordjyllands Storkreds,ptrlarsen,https://www.tiktok.com/@ptrlarsen,18,25,8,0,51,possible_match
Thomas Christiansen,Liberal Alliance,Nordjyllands Storkreds,x.christiansen,https://www.tiktok.com/@x.christiansen,18,25,8,0,51,possible_match
Troels Overgaard,Venstre,Sydjyllands Storkreds,overgaardtroels,https://www.tiktok.com/@overgaardtroels,18,25,8,0,51,possible_match
Bob Richard Nielsen,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,bobnielsen90,https://www.tiktok.com/@bobnielsen90,34,16,0,0,50,possible_match
Cecilie Liv Hansen,Liberal Alliance,Sydjyllands Storkreds,ceciliehansen98,https://www.tiktok.com/@ceciliehansen98,34,16,0,0,50,possible_match
Christina Hedegaard Hansen,Enhedslisten - De Rød-Grønne,Østjyllands Storkreds,christinahansen208,https://www.tiktok.com/@christinahansen208,34,16,0,0,50,possible_match
Emma Thorup Jacobsen,SF - Socialistisk Folkeparti,Vestjyllands Storkreds,emmajacobsen28,https://www.tiktok.com/@emmajacobsen28,34,16,0,0,50,possible_match
Holly Marie Turner,Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds,hollyturner30,https://www.tiktok.com/@hollyturner30,34,16,0,0,50,possible_match
Jimmy Abel Nielsen,Liberal Alliance,Nordjyllands Storkreds,jimmynielsen36,https://www.tiktok.com/@jimmynielsen36,34,16,0,0,50,possible_match
Karen Thestrup Clausen,Enhedslisten - De Rød-Grønne,Sjællands Storkreds,karenclausen233,https://www.tiktok.com/@karenclausen233,34,16,0,0,50,possible_match
Kevin Alex Rasmussen,Enhedslisten - De Rød-Grønne,Sjællands Storkreds,kevinrasmussen7,https://www.tiktok.com/@kevinrasmussen7,34,16,0,0,50,possible_match
Kirsten Normann Andersen,SF - Socialistisk Folkeparti,Østjyllands Storkreds,kirstenandersen6,https://www.tiktok.com/@kirstenandersen6,34,16,0,0,50,possible_match
Marcus Bech Pedersen,Alternativet,Østjyllands Storkreds,marcus_pedersen1,https://www.tiktok.com/@marcus_pedersen1,34,16,0,0,50,possible_match
Simon Meyer Off,SF - Socialistisk Folkeparti,Fyns Storkreds,simonoff01,https://www.tiktok.com/@simonoff01,34,16,0,0,50,possible_match
Sinem Dybvad Demir,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,sinemdemir592,https://www.tiktok.com/@sinemdemir592,34,16,0,0,50,possible_match
"Stine Ry Andersen 8,",Enhedslisten - De Rød-Grønne,Vestjyllands Storkreds,stine.andersen_dk,https://www.tiktok.com/@stine.andersen_dk,34,16,0,0,50,possible_match
Thomas Due Nielsen,Alternativet,Østjyllands Storkreds,thomasnielsen1,https://www.tiktok.com/@thomasnielsen1,34,16,0,0,50,possible_match
Tobias Brus Mikkelsen,Dansk Folkeparti,Sydjyllands Storkreds,tobiasmikkelsen7,https://www.tiktok.com/@tobiasmikkelsen7,34,16,0,0,50,possible_match
Vivian Lindberg Larsen,Danmarksdemokraterne - Inger Støjberg,Fyns Storkreds,vivianlarsen31,https://www.tiktok.com/@vivianlarsen31,34,16,0,0,50,possible_match
Anne Marie Geisler Andersen,Radikale Venstre,Sydjyllands Storkreds,anneandersen10,https://www.tiktok.com/@anneandersen10,34,12,0,0,46,possible_match
Laura Elise Andersen-Mühl,SF - Socialistisk Folkeparti,Fyns Storkreds,laurahl_98,https://www.tiktok.com/@laurahl_98,34,12,0,0,46,possible_match
Anne Sophie Callesen,Radikale Venstre,Østjyllands Storkreds,annesophierv,https://www.tiktok.com/@annesophierv,0,25,15,5,45,possible_match
Charlotte Bagge,Moderaterne,Sjællands Storkreds,moderaterne,https://www.tiktok.com/@moderaterne,0,25,15,5,45,possible_match
Denise Rostgaard,Dansk Folkeparti,Københavns Storkreds,kaostvdanmark,https://www.tiktok.com/@kaostvdanmark,0,25,15,5,45,possible_match
Edvard Korsbæk,Alternativet,Sydjyllands Storkreds,kent.nielsen.danmark,https://www.tiktok.com/@kent.nielsen.danmark,0,25,15,5,45,possible_match
Franciska Rosenkilde,Alternativet,Københavns Storkreds,jacob.jorgsholm,https://www.tiktok.com/@jacob.jorgsholm,0,25,15,5,45,possible_match
John Brill Engkebølle,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,brill1977,https://www.tiktok.com/@brill1977,0,25,15,5,45,possible_match
Kim Gaarsdahl,Liberal Alliance,Nordjyllands Storkreds,rikkeolssen,https://www.tiktok.com/@rikkeolssen,0,25,15,5,45,possible_match
Kristjar Skajaa,Enhedslisten - De Rød-Grønne,Østjyllands Storkreds,kaacrylics,https://www.tiktok.com/@kaacrylics,0,25,15,5,45,possible_match
Lisbeth Bech-Nielsen,SF - Socialistisk Folkeparti,Københavns Storkreds,xoxopoppy35,https://www.tiktok.com/@xoxopoppy35,0,25,15,5,45,possible_match
Maria Temponeras,Enhedslisten - De Rød-Grønne,Østjyllands Storkreds,enhedslisten.midt,https://www.tiktok.com/@enhedslisten.midt,0,25,15,5,45,possible_match
Mikkel Sammy Christensen,SF - Socialistisk Folkeparti,Københavns Storkreds,mikkel4prez,https://www.tiktok.com/@mikkel4prez,0,25,15,5,45,possible_match
Mohammad Rona,Moderaterne,Nordjyllands Storkreds,moderaterne,https://www.tiktok.com/@moderaterne,0,25,15,5,45,possible_match
Morten Høgh,Venstre,Vestjyllands Storkreds,radio4dk,https://www.tiktok.com/@radio4dk,0,25,15,5,45,possible_match
Pia Olsen Dyhr,SF - Socialistisk Folkeparti,Sjællands Storkreds,sfungdom,https://www.tiktok.com/@sfungdom,0,25,15,5,45,possible_match
Ruben Kidde,Radikale Venstre,Københavns Omegns Storkreds,radikaleruben,https://www.tiktok.com/@radikaleruben,0,25,15,5,45,possible_match
Sten Larsen,Moderaterne,Østjyllands Storkreds,moderaterne,https://www.tiktok.com/@moderaterne,0,25,15,5,45,possible_match
Svend Stein Olsen,Liberal Alliance,Vestjyllands Storkreds,svends047,https://www.tiktok.com/@svends047,0,25,15,5,45,possible_match
Søren Gade,Venstre,Vestjyllands Storkreds,tvmidtvest,https://www.tiktok.com/@tvmidtvest,0,25,15,5,45,possible_match
Thomas Majgaard Byrsing,Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds,thomasmajgaardbyr,https://www.tiktok.com/@thomasmajgaardbyr,0,25,15,5,45,possible_match
Anita Vivi Lilholt,Venstre,Nordjyllands Storkreds,,,0,0,0,0,0,possible_match
Astrid Søborg,Venstre,Københavns Omegns Storkreds,,,0,0,0,0,0,possible_match
Camilla Schuster Nygaard,Moderaterne,Fyns Storkreds,,,0,0,0,0,0,possible_match
Caroline Lochow,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,,,0,0,0,0,0,possible_match
Charlotte Nellemann,Liberal Alliance,Københavns Storkreds,,,0,0,0,0,0,possible_match
Claus Jørgensen,SF - Socialistisk Folkeparti,Sjællands Storkreds,,,0,0,0,0,0,possible_match
Helena Artmann Andresen,Liberal Alliance,Sydjyllands Storkreds,,,0,0,0,0,0,possible_match
Joan Kragh,SF - Socialistisk Folkeparti,Sjællands Storkreds,,,0,0,0,0,0,possible_match
Sólbjørg Jakobsen,Liberal Alliance,Nordjyllands Storkreds,,,0,0,0,0,0,possible_match
Taner Genc,SF - Socialistisk Folkeparti,Københavns Omegns Storkreds,,,0,0,0,0,0,possible_match
Carolina Cámara,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,caarolinacamaraa,https://www.tiktok.com/@caarolinacamaraa,18,25,0,0,43,manual_review
Erik Poulsen,Danmarksdemokraterne - Inger Støjberg,Østjyllands Storkreds,poulsencrew,https://www.tiktok.com/@poulsencrew,18,25,0,0,43,manual_review
Hans Jensen,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds,martinhansjensen,https://www.tiktok.com/@martinhansjensen,18,25,0,0,43,manual_review
Katrine Daugaard,Liberal Alliance,Fyns Storkreds,katrinevondaugaard,https://www.tiktok.com/@katrinevondaugaard,18,25,0,0,43,manual_review
Lars König,Alternativet,Sjællands Storkreds,larskoenig,https://www.tiktok.com/@larskoenig,18,25,0,0,43,manual_review
Lilje Holm,Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds,kalleliljeholmen,https://www.tiktok.com/@kalleliljeholmen,18,25,0,0,43,manual_review
Michael Pihl,Dansk Folkeparti,Sjællands Storkreds,jaredmichaelpihl,https://www.tiktok.com/@jaredmichaelpihl,18,25,0,0,43,manual_review
Simon Rigét,Alternativet,Nordsjællands Storkreds,simonwright078,https://www.tiktok.com/@simonwright078,18,25,0,0,43,manual_review
Sofie Christiansen,SF - Socialistisk Folkeparti,Bornholms Storkreds,sofiiechristiansen,https://www.tiktok.com/@sofiiechristiansen,18,25,0,0,43,manual_review
Sofie F. Villadsen,SF - Socialistisk Folkeparti,Københavns Omegns Storkreds,sofie_f_villadsen,https://www.tiktok.com/@sofie_f_villadsen,18,25,0,0,43,manual_review
Thomas Rohden,Radikale Venstre,Københavns Storkreds,radikaleeeforrohden,https://www.tiktok.com/@radikaleeeforrohden,18,25,0,0,43,manual_review
Victoria Velásquez,Enhedslisten - De Rød-Grønne,Fyns Storkreds,victoriaeugeniavelasquez,https://www.tiktok.com/@victoriaeugeniavelasquez,18,25,0,0,43,manual_review
Dina Andersen-Raabjerg,Det Konservative Folkeparti,Vestjyllands Storkreds,dinamyrupraabjerg,https://www.tiktok.com/@dinamyrupraabjerg,18,16,8,0,42,manual_review
Elva Bille Klem,Liberal Alliance,Sjællands Storkreds,klemfamily,https://www.tiktok.com/@klemfamily,18,16,8,0,42,manual_review
Lasse Vogel Andersen,Det Konservative Folkeparti,Københavns Storkreds,ahmandersen,https://www.tiktok.com/@ahmandersen,18,16,8,0,42,manual_review
Line Krogh Lay,Radikale Venstre,Sjællands Storkreds,faceless.linelay,https://www.tiktok.com/@faceless.linelay,18,16,8,0,42,manual_review
Alex Ahrendtsen,Dansk Folkeparti,Fyns Storkreds,fhdanmark,https://www.tiktok.com/@fhdanmark,0,25,15,0,40,manual_review
Andreas Lausen,Moderaterne,Fyns Storkreds,hajisalaax,https://www.tiktok.com/@hajisalaax,0,25,15,0,40,manual_review
Anne Paulin,Socialdemokratiet,Vestjyllands Storkreds,atomkraftjatak,https://www.tiktok.com/@atomkraftjatak,0,25,15,0,40,manual_review
Annie Hagel,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,enhedslisten.midt,https://www.tiktok.com/@enhedslisten.midt,0,25,15,0,40,manual_review
Betina Kastbjerg,Danmarksdemokraterne - Inger Støjberg,Vestjyllands Storkreds,ddungdom,https://www.tiktok.com/@ddungdom,0,25,15,0,40,manual_review
Camilla Fabricius,Socialdemokratiet,Østjyllands Storkreds,allanschmidtdk,https://www.tiktok.com/@allanschmidtdk,0,25,15,0,40,manual_review
Christina Egelund,Moderaterne,Østjyllands Storkreds,moderaterne,https://www.tiktok.com/@moderaterne,0,25,15,0,40,manual_review
Edith Vels,Enhedslisten - De Rød-Grønne,Østjyllands Storkreds,edithcuevass,https://www.tiktok.com/@edithcuevass,0,25,15,0,40,manual_review
Emil Sloth,Alternativet,Nordjyllands Storkreds,emil.i.byraadet,https://www.tiktok.com/@emil.i.byraadet,0,25,15,0,40,manual_review
Emilla Møller,Socialdemokratiet,Københavns Storkreds,emillamoeller,https://www.tiktok.com/@emillamoeller,0,25,15,0,40,manual_review
Gert Bjerregaard,Venstre,Østjyllands Storkreds,rgu.aarhus,https://www.tiktok.com/@rgu.aarhus,0,25,15,0,40,manual_review
Helena Hedegaard Udsen,Enhedslisten - De Rød-Grønne,Sjællands Storkreds,helena_hedegaard,https://www.tiktok.com/@helena_hedegaard,0,25,15,0,40,manual_review
Henrik Brodersen,Dansk Folkeparti,Sjællands Storkreds,dfnyheder,https://www.tiktok.com/@dfnyheder,0,25,15,0,40,manual_review
Karsten Hønge,SF - Socialistisk Folkeparti,Fyns Storkreds,sfpolitik,https://www.tiktok.com/@sfpolitik,0,25,15,0,40,manual_review
Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,larsloekke,https://www.tiktok.com/@larsloekke,0,25,15,0,40,manual_review
Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,bloombergpolitics,https://www.tiktok.com/@bloombergpolitics,0,25,15,0,40,manual_review
Linea Søgaard-Lidell,Venstre,Københavns Storkreds,forlagetgyldendal,https://www.tiktok.com/@forlagetgyldendal,0,25,15,0,40,manual_review
Mette Abildgaard,Det Konservative Folkeparti,Nordsjællands Storkreds,zetlanddk,https://www.tiktok.com/@zetlanddk,0,25,15,0,40,manual_review
Mette Thiesen,Dansk Folkeparti,Nordsjællands Storkreds,sadismo.dk,https://www.tiktok.com/@sadismo.dk,0,25,15,0,40,manual_review
Mona Juul,Det Konservative Folkeparti,Østjyllands Storkreds,dfnyheder,https://www.tiktok.com/@dfnyheder,0,25,15,0,40,manual_review
Noah Sturis,Alternativet,Københavns Storkreds,noah.risling,https://www.tiktok.com/@noah.risling,0,25,15,0,40,manual_review
Peder Hvelplund,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds,ellenemilie,https://www.tiktok.com/@ellenemilie,0,25,15,0,40,manual_review
Peter Kofod,Dansk Folkeparti,Sydjyllands Storkreds,dfnyheder,https://www.tiktok.com/@dfnyheder,0,25,15,0,40,manual_review
Peter Skaarup,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,ddungdom,https://www.tiktok.com/@ddungdom,0,25,15,0,40,manual_review
Sascha Faxe,Alternativet,Sjællands Storkreds,alternativet,https://www.tiktok.com/@alternativet,0,25,15,0,40,manual_review
Sophie Løhde,Venstre,Nordsjællands Storkreds,alexanderwyttesen,https://www.tiktok.com/@alexanderwyttesen,0,25,15,0,40,manual_review
Thomas Danielsen,Venstre,Vestjyllands Storkreds,sebastianibyraadet,https://www.tiktok.com/@sebastianibyraadet,0,25,15,0,40,manual_review
"Trine Mach 1,",Enhedslisten - De Rød-Grønne,Østjyllands Storkreds,_enhedslisten,https://www.tiktok.com/@_enhedslisten,0,25,15,0,40,manual_review
Troels Lund Poulsen,Venstre,Østjyllands Storkreds,venstredk,https://www.tiktok.com/@venstredk,0,25,15,0,40,manual_review
Anders Kühnau,Socialdemokratiet,Østjyllands Storkreds,sebastianibyraadet,https://www.tiktok.com/@sebastianibyraadet,0,25,8,5,38,manual_review
Carina Høedt,Det Konservative Folkeparti,Københavns Storkreds,carina.h.frederiksberg,https://www.tiktok.com/@carina.h.frederiksberg,0,25,8,5,38,manual_review
Emma Biørn Tretow-Fish,Radikale Venstre,Nordjyllands Storkreds,brotherfishemma,https://www.tiktok.com/@brotherfishemma,18,12,8,0,38,manual_review
Frederik Houmann Thuesen,Venstre,Vestjyllands Storkreds,frederikhoumannth,https://www.tiktok.com/@frederikhoumannth,0,25,8,5,38,manual_review
Helene Lykke,Liberal Alliance,Sydjyllands Storkreds,lykke.aarvikk,https://www.tiktok.com/@lykke.aarvikk,18,12,8,0,38,manual_review
Isabel Havndrup Aackmann,Radikale Venstre,Københavns Omegns Storkreds,jakobskygge,https://www.tiktok.com/@jakobskygge,0,25,8,5,38,manual_review
Marianne Karlsmose,Det Konservative Folkeparti,Vestjyllands Storkreds,user2.0abc,https://www.tiktok.com/@user2.0abc,0,25,8,5,38,manual_review
Morten Ryom,Socialdemokratiet,Nordjyllands Storkreds,dsuaalborg,https://www.tiktok.com/@dsuaalborg,0,25,8,5,38,manual_review
Rune Kristensen,Det Konservative Folkeparti,Sjællands Storkreds,frank.nielsen_dan,https://www.tiktok.com/@frank.nielsen_dan,0,25,8,5,38,manual_review
Sara Emil Baaring,Socialdemokratiet,Fyns Storkreds,user160224.160224,https://www.tiktok.com/@user160224.160224,0,25,8,5,38,manual_review
Karina Lorentzen Dehnhardt,SF - Socialistisk Folkeparti,Sydjyllands Storkreds,karina_lorentzen,https://www.tiktok.com/@karina_lorentzen,0,16,15,5,36,manual_review
Mikkel Westh Jepsen,Radikale Venstre,Nordsjællands Storkreds,mikkelwj2,https://www.tiktok.com/@mikkelwj2,0,16,15,5,36,manual_review
Anette Jensen Smith,Alternativet,Nordjyllands Storkreds,jensensmith,https://www.tiktok.com/@jensensmith,18,16,0,0,34,manual_review
Eik Dahl Bidstrup,Liberal Alliance,Bornholms Storkreds,bidstrupfitness,https://www.tiktok.com/@bidstrupfitness,18,8,8,0,34,manual_review
"Eva Flyvholm 10,",Enhedslisten - De Rød-Grønne,Sjællands Storkreds,eva_jeanette10,https://www.tiktok.com/@eva_jeanette10,18,16,0,0,34,manual_review
Michael Portefee P. Lex,Radikale Venstre,Nordjyllands Storkreds,_lex_p,https://www.tiktok.com/@_lex_p,18,8,8,0,34,manual_review
Anders Sørensen,Alternativet,Københavns Storkreds,haverslev_truckspotter,https://www.tiktok.com/@haverslev_truckspotter,0,25,8,0,33,manual_review
Ane Halsboe-Jørgensen,Socialdemokratiet,Nordjyllands Storkreds,ane.halsboejrgense,https://www.tiktok.com/@ane.halsboejrgense,0,25,8,0,33,manual_review
Anna Bjerre,Alternativet,Nordjyllands Storkreds,maealexxxxxx,https://www.tiktok.com/@maealexxxxxx,0,25,8,0,33,manual_review
Camilla Hoffmann,Socialdemokratiet,Københavns Storkreds,camillahf,https://www.tiktok.com/@camillahf,0,25,8,0,33,manual_review
Edris Qasimi,Radikale Venstre,Sjællands Storkreds,aburahman.officiall,https://www.tiktok.com/@aburahman.officiall,0,25,8,0,33,manual_review
Emil Moselund,Radikale Venstre,Københavns Storkreds,derekhartmandk,https://www.tiktok.com/@derekhartmandk,0,25,8,0,33,manual_review
Frederik Bloch Münster,Det Konservative Folkeparti,Sydjyllands Storkreds,victorsbiler,https://www.tiktok.com/@victorsbiler,0,25,8,0,33,manual_review
Frederik Lundberg,Borgernes Parti - Lars Boje Mathiesen,Københavns Omegns Storkreds,the.meatstick,https://www.tiktok.com/@the.meatstick,0,25,8,0,33,manual_review
Freja Eva Lockenwitz,Radikale Venstre,Nordsjællands Storkreds,taehyungsby,https://www.tiktok.com/@taehyungsby,0,25,8,0,33,manual_review
Frida Bruun,Moderaterne,Sydjyllands Storkreds,almadamgaardd,https://www.tiktok.com/@almadamgaardd,0,25,8,0,33,manual_review
Gustav Wilde,Liberal Alliance,Fyns Storkreds,megustav,https://www.tiktok.com/@megustav,0,25,8,0,33,manual_review
