candidate_name,party_name,storkreds,har_tiktok,tiktok_url
Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,Vestjyllands Storkreds,ukendt,
Alex Ahrendtsen,Dansk Folkeparti,Fyns Storkreds,nej,
Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,ja,https://www.tiktok.com/@alexvanopslagh
Alexander Bruhn Skjøth,SF - Socialistisk Folkeparti,Københavns Omegns Storkreds,ukendt,
Alexander Ryle,Liberal Alliance,Københavns Storkreds,ja,https://www.tiktok.com/@alexanderryle
Ali Qais,Moderaterne,Københavns Storkreds,nej,
Ali Yahya,SF - Socialistisk Folkeparti,Sjællands Storkreds,nej,
Allan Feldt,Dansk Folkeparti,Københavns Storkreds,ja,https://www.tiktok.com/@realallanfeldt
Allan Hansen Lindemark,Alternativet,Sjællands Storkreds,ukendt,
Allan Holm,Borgernes Parti - Lars Boje Mathiesen,Fyns Storkreds,nej,
Allan Orland,Borgernes Parti - Lars Boje Mathiesen,Københavns Omegns Storkreds,ukendt,
Allan Svendsen,Dansk Folkeparti,Sydjyllands Storkreds,ukendt,
Amanda Heitmann,Venstre,Fyns Storkreds,ja,https://www.tiktok.com/@amandaheitmann
Anastasia Milthers,Radikale Venstre,Fyns Storkreds,ja,https://www.tiktok.com/@anastasia_milthers
Anders Andreasen,Socialdemokratiet,Vestjyllands Storkreds,ukendt,
Anders Bo Larsen,Venstre,Københavns Omegns Storkreds,nej,
Anders Bork,Dansk Folkeparti,Sjællands Storkreds,ukendt,
Anders Bøge,SF - Socialistisk Folkeparti,Vestjyllands Storkreds,ukendt,
Anders Fausbøll,Venstre,Københavns Storkreds,ukendt,
Anders Havelund Krøyer,Det Konservative Folkeparti,Københavns Storkreds,ukendt,
Anders Krojgaard Lund,Det Konservative Folkeparti,Østjyllands Storkreds,nej,
Anders Kronborg,Socialdemokratiet,Sydjyllands Storkreds,ja,https://www.tiktok.com/@kronborg1982
