candidate_name,party_name,storkreds,har_tiktok,tiktok_url
Anders Kühnau,Socialdemokratiet,Østjyllands Storkreds,nej,
Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,ja,https://www.tiktok.com/@anderspeterhansenla
Anders Storgaard,Det Konservative Folkeparti,Københavns Storkreds,ukendt,
Anders Sørensen,Alternativet,Københavns Storkreds,nej,
Anders Vistisen,Dansk Folkeparti,Nordjyllands Storkreds,ja,https://www.tiktok.com/@andersvistisen
Andreas Fjord Larsen,Venstre,Fyns Storkreds,nej,
Andreas Lausen,Moderaterne,Fyns Storkreds,nej,
Andreas Raben,Moderaterne,Nordsjællands Storkreds,ja,https://www.tiktok.com/@andreasraben
Ane Halsboe-Jørgensen,Socialdemokratiet,Nordjyllands Storkreds,ukendt,
Ane Line Søndergaard,Alternativet,Sydjyllands Storkreds,ukendt,
Anette Jensen Smith,Alternativet,Nordjyllands Storkreds,ja,https://www.tiktok.com/@anette.jensen.smi
Anita Vivi Lilholt,Venstre,Nordjyllands Storkreds,ukendt,
Anja Busch,Borgernes Parti - Lars Boje Mathiesen,Fyns Storkreds,ukendt,
Anja Lund,Venstre,Fyns Storkreds,ja,https://www.tiktok.com/@anjalund753
Anja Rosengreen,SF - Socialistisk Folkeparti,Nordsjællands Storkreds,ukendt,
Anna Bjerre,Alternativet,Nordjyllands Storkreds,ukendt,
Anna Brændemose,SF - Socialistisk Folkeparti,Østjyllands Storkreds,ukendt,
Anna Calero,Alternativet,Østjyllands Storkreds,nej,
Anna Katrine Leth Rehn,SF - Socialistisk Folkeparti,Fyns Storkreds,ukendt,
Anna Poulsen,SF - Socialistisk Folkeparti,Nordsjællands Storkreds,nej,
Anne Catherine Hoxcer Nielsen,Socialdemokratiet,Sydjyllands Storkreds,nej,
Anne Fiber,Det Konservative Folkeparti,Fyns Storkreds,ukendt,
Anne Honoré Østergaard,Venstre,Nordjyllands Storkreds,ukendt,
Anne Marie Geisler Andersen,Radikale Venstre,Sydjyllands Storkreds,nej,
Anne Møllegaard Mortensen,Dansk Folkeparti,Fyns Storkreds,ukendt,
Anne Paulin,Socialdemokratiet,Vestjyllands Storkreds,nej,
Anne Sophie Callesen,Radikale Venstre,Østjyllands Storkreds,ja,https://www.tiktok.com/@annesophierv
Anne Valentina Berthelsen,SF - Socialistisk Folkeparti,Sjællands Storkreds,ukendt,
Anne-Marie Hemmeth,Alternativet,Nordjyllands Storkreds,nej,
Anne-Sofie Sadolin,Radikale Venstre,Københavns Storkreds,ukendt,
Annette Rieva,Venstre,Nordsjællands Storkreds,ukendt,
Annette Sofia Skotte,Liberal Alliance,Vestjyllands Storkreds,nej,
Anni Matthiesen,Venstre,Sydjyllands Storkreds,ja,https://www.tiktok.com/@annimatthiesen
Annie Hagel,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,nej,
Araz Khan,Liberal Alliance,Fyns Storkreds,nej,
Arne Hyldgaard,Borgernes Parti - Lars Boje Mathiesen,Nordjyllands Storkreds,ukendt,
Asbjørn Reissmann,Socialdemokratiet,Københavns Storkreds,ukendt,
Asta Kofod,Enhedslisten - De Rød-Grønne,Bornholms Storkreds,ukendt,
Astrid Carøe,SF - Socialistisk Folkeparti,Sjællands Storkreds,ukendt,
Astrid Fogh,Alternativet,Sydjyllands Storkreds,nej,
Astrid Søborg,Venstre,Københavns Omegns Storkreds,ukendt,
Ayhan Kilic,Moderaterne,Nordsjællands Storkreds,ja,https://www.tiktok.com/@ayhankilic_moderaterne
Barbara Engelstoft,Det Konservative Folkeparti,Sjællands Storkreds,ukendt,
Barbara Krarup Hansen,Radikale Venstre,Sydjyllands Storkreds,ja,https://www.tiktok.com/@barbarakrarup
Benjamin Christensen,SF - Socialistisk Folkeparti,Nordjyllands Storkreds,ja,https://www.tiktok.com/@benjaminrfchristensen
Benny Bindslev,Danmarksdemokraterne - Inger Støjberg,Københavns Storkreds,ukendt,
Benny Dall,Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds,ukendt,
Benny Damgaard,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,ukendt,
Benny Engelbrecht,Socialdemokratiet,Sydjyllands Storkreds,ukendt,
Bente Refslund,SF - Socialistisk Folkeparti,Vestjyllands Storkreds,ukendt,
Berit Raldin,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds,ukendt,
Betina Asbæk,Moderaterne,Københavns Omegns Storkreds,ukendt,
Betina Kastbjerg,Danmarksdemokraterne - Inger Støjberg,Vestjyllands Storkreds,ja,https://www.tiktok.com/@betinakastbjerg
Bia Ndamukunda,Det Konservative Folkeparti,Østjyllands Storkreds,ukendt,
Bianca Vitting,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,ukendt,
Birgit Gedionsen,Enhedslisten - De Rød-Grønne,Sjællands Storkreds,ukendt,
Birgitte Bergman,Det Konservative Folkeparti,Nordsjællands Storkreds,ukendt,
Birgitte Vind,Socialdemokratiet,Sydjyllands Storkreds,ukendt,
Birthe Tindbæk Bredo,Venstre,Bornholms Storkreds,ukendt,
Bjarke Bisgaard Yolal,SF - Socialistisk Folkeparti,Københavns Storkreds,ukendt,
Bjarke Jensen,Radikale Venstre,Østjyllands Storkreds,ukendt,
Bjarne Lastein,Radikale Venstre,Sydjyllands Storkreds,ukendt,
Bjørn Brandenborg,Socialdemokratiet,Fyns Storkreds,ja,https://www.tiktok.com/@bjornbrandenborg
Bjørn Jensen,Det Konservative Folkeparti,Østjyllands Storkreds,ukendt,
Bjørn Laursen,Socialdemokratiet,Sydjyllands Storkreds,ukendt,
Bjørn Olsen,Alternativet,Østjyllands Storkreds,ukendt,
Bo Nielsen,Alternativet,Sydjyllands Storkreds,nej,
Bo Ritterbusch,Liberal Alliance,Nordjyllands Storkreds,nej,
Bo Tønnesen,Alternativet,Fyns Storkreds,ukendt,
Bo Vibe Ancher Jensen,Dansk Folkeparti,Bornholms Storkreds,nej,
Bob Richard Nielsen,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,nej,
Bodil Helbo,Alternativet,Fyns Storkreds,ukendt,
Bodil Nielsen,Alternativet,Sydjyllands Storkreds,ukendt,
Brian Køster,Radikale Venstre,Københavns Omegns Storkreds,ja,https://www.tiktok.com/@briankoster
Brian Lyck Jørgensen,Dansk Folkeparti,Nordsjællands Storkreds,ukendt,
Brian Mørch,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,ukendt,
Brian Perri,Moderaterne,Sjællands Storkreds,ukendt,
Brian Prehn,Liberal Alliance,Sjællands Storkreds,ukendt,
Bruno Jerup,Enhedslisten - De Rød-Grønne,Sjællands Storkreds,ukendt,
Camilla Fabricius,Socialdemokratiet,Østjyllands Storkreds,nej,
Camilla Hoffmann,Socialdemokratiet,Københavns Storkreds,ukendt,
Camilla Schuster Nygaard,Moderaterne,Fyns Storkreds,ukendt,
Carina Høedt,Det Konservative Folkeparti,Københavns Storkreds,ja,https://www.tiktok.com/@carina.til.folketinget
Carina Sarkkinen,SF - Socialistisk Folkeparti,Østjyllands Storkreds,ukendt,
Carl Andersen,Liberal Alliance,Sydjyllands Storkreds,ja,https://www.tiktok.com/@carlandersen27
Carl Emil Lind,Socialdemokratiet,Sjællands Storkreds,ja,https://www.tiktok.com/@carl.emil.lind.ch
Carl Valentin,SF - Socialistisk Folkeparti,Københavns Storkreds,ukendt,
Carolina Cámara,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,ja,https://www.tiktok.com/@caarolinacamaraa
Caroline Lochow,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,ukendt,
Caroline Stage,Moderaterne,Østjyllands Storkreds,ukendt,
Caroline Svejsø,Det Konservative Folkeparti,Østjyllands Storkreds,ukendt,
Carsten Abildtrup Ranum,Liberal Alliance,Sjællands Storkreds,ukendt,
Carsten Bach,Liberal Alliance,Vestjyllands Storkreds,ukendt,
Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,ja,https://www.tiktok.com/@carstenbedsted
Carsten Sohl,Alternativet,Sydjyllands Storkreds,ukendt,
Casper Hindkjær,Radikale Venstre,Vestjyllands Storkreds,ukendt,
Catharina Næsby Malkki,Alternativet,Københavns Storkreds,ukendt,
Cecilie C. Johannsen,Det Konservative Folkeparti,Sydjyllands Storkreds,ukendt,
Cecilie Liv Hansen,Liberal Alliance,Sydjyllands Storkreds,ja,https://www.tiktok.com/@cecilieldh
Cecilie Louise Balbay Holdt,SF - Socialistisk Folkeparti,Københavns Storkreds,ukendt,
Charlotte Bagge,Moderaterne,Sjællands Storkreds,nej,
Charlotte Broman Mølbæk,SF - Socialistisk Folkeparti,Østjyllands Storkreds,nej,
Charlotte Ellenberger,SF - Socialistisk Folkeparti,Fyns Storkreds,nej,
Charlotte Friberg Henriksen,Borgernes Parti - Lars Boje Mathiesen,Bornholms Storkreds,ukendt,
Charlotte Green,Det Konservative Folkeparti,Østjyllands Storkreds,nej,
Charlotte Haagendrup,Moderaterne,Nordsjællands Storkreds,ukendt,
Charlotte Lund,Enhedslisten - De Rød-Grønne,Københavns Storkreds,nej,
Charlotte Munch,Danmarksdemokraterne - Inger Støjberg,Københavns Omegns Storkreds,ukendt,
Charlotte Møller-Madsen,Borgernes Parti - Lars Boje Mathiesen,Fyns Storkreds,ukendt,
Charlotte Nellemann,Liberal Alliance,Københavns Storkreds,ukendt,
Charlotte Vindeløv,SF - Socialistisk Folkeparti,Østjyllands Storkreds,ukendt,
Chelle Lilly Albøge,Liberal Alliance,Nordsjællands Storkreds,nej,
Chris Hvidberg,Liberal Alliance,Østjyllands Storkreds,ukendt,
Christian Elkjær,Radikale Venstre,Nordsjællands Storkreds,ukendt,
Christian Faurholdt Jeppesen,Socialdemokratiet,Bornholms Storkreds,ukendt,
Christian Fini Mosegaard,Liberal Alliance,Sydjyllands Storkreds,ukendt,
Christian Friis Bach,Venstre,Sjællands Storkreds,nej,
Christian Juhl,Enhedslisten - De Rød-Grønne,Vestjyllands Storkreds,ukendt,
Christian Jørgensen,Liberal Alliance,Sydjyllands Storkreds,ukendt,
Christian Kirk,Dansk Folkeparti,Sydjyllands Storkreds,ja,https://www.tiktok.com/@christiankirk00
Christian Mutwa Christensen,SF - Socialistisk Folkeparti,Sydjyllands Storkreds,ukendt,
Christian Rabjerg Madsen,Socialdemokratiet,Sydjyllands Storkreds,ukendt,
Christian Tarbensen,Det Konservative Folkeparti,Sydjyllands Storkreds,ukendt,
Christian Vigilius,Det Konservative Folkeparti,Københavns Omegns Storkreds,ukendt,
Christian Wibholm,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,ukendt,
Christina Egelund,Moderaterne,Østjyllands Storkreds,nej,
Christina Eilers,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds,ukendt,
Christina Falkberg,Radikale Venstre,Københavns Omegns Storkreds,ukendt,
Christina Foldager,Det Konservative Folkeparti,Sydjyllands Storkreds,ukendt,
Christina Hedegaard Hansen,Enhedslisten - De Rød-Grønne,Østjyllands Storkreds,nej,
Christina Lykke,SF - Socialistisk Folkeparti,Nordjyllands Storkreds,ukendt,
Christina Thorholm,Radikale Venstre,Nordsjællands Storkreds,ukendt,
Christoffer Aagaard Melson,Venstre,Sydjyllands Storkreds,ukendt,
Christoffer Emil Jexen,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,ukendt,
Christopher Arzrouni,Liberal Alliance,Nordsjællands Storkreds,ukendt,
Christopher Blomsterberg-Thaysen,Venstre,Københavns Omegns Storkreds,ukendt,
Clara Turms,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,ukendt,
Claus Bakke,Venstre,Sjællands Storkreds,ukendt,
Claus Beck,Liberal Alliance,Nordjyllands Storkreds,ukendt,
Claus Buch,Venstre,Københavns Storkreds,ukendt,
Claus Jørgensen,SF - Socialistisk Folkeparti,Sjællands Storkreds,ukendt,
Claus Oxfeldt,Venstre,Fyns Storkreds,ukendt,
Claus Skovmose,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,ukendt,
Coco Mette Cecilie Kjærgaard,Alternativet,Sydjyllands Storkreds,ja,https://www.tiktok.com/@coco.esperas
Damian Hartvig Mathiesen,Enhedslisten - De Rød-Grønne,Vestjyllands Storkreds,ukendt,
Dan Arnløv,Det Konservative Folkeparti,Sydjyllands Storkreds,ukendt,
Dan Gaardboe Rueskov,Liberal Alliance,Nordjyllands Storkreds,ukendt,
Daniel Drefeld,Det Konservative Folkeparti,Nordsjællands Storkreds,ukendt,
Daniel Juhl,Borgernes Parti - Lars Boje Mathiesen,Fyns Storkreds,nej,
Danny Rosenkilde,Dansk Folkeparti,Nordjyllands Storkreds,ukendt,
David Ibsen,Liberal Alliance,Københavns Omegns Storkreds,nej,
David Rønne,Enhedslisten - De Rød-Grønne,Københavns Storkreds,ukendt,
Denise Rostgaard,Dansk Folkeparti,Københavns Storkreds,ja,https://www.tiktok.com/@deniserostgaard
Dennis Flydtkjær,Danmarksdemokraterne - Inger Støjberg,Vestjyllands Storkreds,ja,https://www.tiktok.com/@flydtkjaer
Dennis Munk,Enhedslisten - De Rød-Grønne,Østjyllands Storkreds,nej,
Didde Krabbe Johannesen,Alternativet,Vestjyllands Storkreds,ukendt,
Dina Andersen-Raabjerg,Det Konservative Folkeparti,Vestjyllands Storkreds,ja,https://www.tiktok.com/@dinamyrupraabjerg
Dina Person,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,ukendt,
Ditte Keidser,Det Konservative Folkeparti,Sjællands Storkreds,ukendt,
Ditte Ravn Kaagaard,Moderaterne,Nordjyllands Storkreds,ukendt,
Dorte M. Nielsen,SF - Socialistisk Folkeparti,Nordjyllands Storkreds,nej,
Dorte Vilhelmsen,Det Konservative Folkeparti,Københavns Omegns Storkreds,ukendt,
Dorthe Beck-Nyling,Moderaterne,Københavns Omegns Storkreds,ukendt,
Dorthe Hindborg,Socialdemokratiet,Østjyllands Storkreds,ukendt,
Dorthe Kerschus,Radikale Venstre,Nordjyllands Storkreds,ukendt,
Dorthe Pedersen,Det Konservative Folkeparti,Nordjyllands Storkreds,nej,
Edith Vels,Enhedslisten - De Rød-Grønne,Østjyllands Storkreds,ja,https://www.tiktok.com/@edith_vels
Edris Qasimi,Radikale Venstre,Sjællands Storkreds,ukendt,
Edvard Korsbæk,Alternativet,Sydjyllands Storkreds,nej,
Egil Hulgaard,Det Konservative Folkeparti,Nordsjællands Storkreds,ukendt,
Eik Dahl Bidstrup,Liberal Alliance,Bornholms Storkreds,ja,https://www.tiktok.com/@eikdahlbidstrup
Elias Julius Binggeli,SF - Socialistisk Folkeparti,Nordsjællands Storkreds,ukendt,
Elise Sydendal,Alternativet,Sjællands Storkreds,ukendt,
Ellen Emilie,Moderaterne,Københavns Storkreds,ja,https://www.tiktok.com/@ellenemilie_
Elva Bille Klem,Liberal Alliance,Sjællands Storkreds,nej,
Emil Andersen,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,nej,
Emil M. D. Christensen,Venstre,Østjyllands Storkreds,nej,
Emil Moselund,Radikale Venstre,Københavns Storkreds,ukendt,
Emil Nielsen,SF - Socialistisk Folkeparti,Nordsjællands Storkreds,nej,
Emil Sloth,Alternativet,Nordjyllands Storkreds,ja,https://www.tiktok.com/@emilslothandersen
Emil Viskum,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,ukendt,
Emilie Schytte,Borgernes Parti - Lars Boje Mathiesen,Nordsjællands Storkreds,ja,https://www.tiktok.com/@emilie.schytte.bp
Emilla Møller,Socialdemokratiet,Københavns Storkreds,ja,https://www.tiktok.com/@emillamoeller
Emma Biørn Tretow-Fish,Radikale Venstre,Nordjyllands Storkreds,nej,
Emma Houe Mølgaard,Dansk Folkeparti,Nordjyllands Storkreds,ukendt,
Emma Juul Hansen,Det Konservative Folkeparti,Nordsjællands Storkreds,nej,
Emma Thorup Jacobsen,SF - Socialistisk Folkeparti,Vestjyllands Storkreds,nej,
Erik Flyvholm,Venstre,Vestjyllands Storkreds,ukendt,
Erik Jensen,Socialdemokratiet,Københavns Storkreds,nej,
Erik Poulsen,Danmarksdemokraterne - Inger Støjberg,Østjyllands Storkreds,nej,
Erik Særkjær,Socialdemokratiet,Østjyllands Storkreds,ukendt,
Erik Veje Rasmussen,Venstre,Østjyllands Storkreds,ukendt,
Esat Senturk,Radikale Venstre,Københavns Omegns Storkreds,ja,https://www.tiktok.com/@esatsenturkrv
Eva Bechmann,Danmarksdemokraterne - Inger Støjberg,Københavns Storkreds,ukendt,
Eva Borchorst Mejnertz,Socialdemokratiet,Vestjyllands Storkreds,ukendt,
"Eva Flyvholm 10,",Enhedslisten - De Rød-Grønne,Sjællands Storkreds,nej,
Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,ja,https://www.tiktok.com/@fatih.baran37
Fie Hækkerup,Socialdemokratiet,Nordsjællands Storkreds,ukendt,
Filippa Emilie Vittrup,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds,ja,https://www.tiktok.com/@filippavittrup
Filiz Sarah Thunø,Socialdemokratiet,Sjællands Storkreds,ukendt,
Finn Hartvig Nielsen,Radikale Venstre,Sydjyllands Storkreds,nej,
Flemming Møller Mortensen,Socialdemokratiet,Nordjyllands Storkreds,nej,
Flemming Steenlykke,Borgernes Parti - Lars Boje Mathiesen,Københavns Storkreds,ukendt,
Franciska Rosenkilde,Alternativet,Københavns Storkreds,nej,
Frank Clausen,Liberal Alliance,Københavns Omegns Storkreds,nej,
Frederik Blicher Pedersen,Liberal Alliance,Nordjyllands Storkreds,nej,
Frederik Bloch Münster,Det Konservative Folkeparti,Sydjyllands Storkreds,ukendt,
Frederik Germann,Det Konservative Folkeparti,Nordsjællands Storkreds,ukendt,
Frederik Grünfeld,Liberal Alliance,Sjællands Storkreds,ukendt,
Frederik Houmann Thuesen,Venstre,Vestjyllands Storkreds,ja,https://www.tiktok.com/@frederikhoumannth
Frederik Klakk,Liberal Alliance,Sydjyllands Storkreds,ja,https://www.tiktok.com/@frederikklakk
Frederik Lau Petersen,Moderaterne,Københavns Omegns Storkreds,ja,https://www.tiktok.com/@frederik_lau_petersen
Frederik Lundberg,Borgernes Parti - Lars Boje Mathiesen,Københavns Omegns Storkreds,ukendt,
Frederik Max Krag,Liberal Alliance,Sjællands Storkreds,nej,
Frederik Rosberg,Radikale Venstre,Københavns Storkreds,ukendt,
Frederik Storm,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,nej,
Frederik Vad,Socialdemokratiet,Sjællands Storkreds,ja,https://www.tiktok.com/@frederik.vad
Freja Brandhøj,Liberal Alliance,Københavns Omegns Storkreds,ukendt,
Freja Eva Lockenwitz,Radikale Venstre,Nordsjællands Storkreds,ukendt,
Frida Bruun,Moderaterne,Sydjyllands Storkreds,ukendt,
Frida Qvist Kristensen,Moderaterne,Sjællands Storkreds,ukendt,
Gabriel Aaen,Det Konservative Folkeparti,Nordjyllands Storkreds,ukendt,
Gert Bjerregaard,Venstre,Østjyllands Storkreds,nej,
Gert Bækgaard,Venstre,Vestjyllands Storkreds,ukendt,
Gert Løfgren,Dansk Folkeparti,Nordsjællands Storkreds,ukendt,
Gitte Bjerremand Andersen,Moderaterne,Sydjyllands Storkreds,nej,
Gitte Dreier Jacobsen,Alternativet,Østjyllands Storkreds,ukendt,
Gitte Eriksen,Det Konservative Folkeparti,Sydjyllands Storkreds,ukendt,
Gorm Hoff Lauridsen,Det Konservative Folkeparti,Vestjyllands Storkreds,ukendt,
Gorm Simonsen,Radikale Venstre,Nordjyllands Storkreds,ukendt,
Gunver Birgitte Nielsen,Det Konservative Folkeparti,Sydjyllands Storkreds,ukendt,
Gunvor Wibroe,Socialdemokratiet,Københavns Omegns Storkreds,ukendt,
Gustav Wilde,Liberal Alliance,Fyns Storkreds,ukendt,
HP Beck,Liberal Alliance,Nordjyllands Storkreds,ukendt,
Halime Oguz,SF - Socialistisk Folkeparti,Københavns Storkreds,ukendt,
Hanne Bjørn,Liberal Alliance,Københavns Omegns Storkreds,ukendt,
Hanne Frølund,Radikale Venstre,Vestjyllands Storkreds,ukendt,
Hanne K. Mortensen,Alternativet,Østjyllands Storkreds,ukendt,
Hanne Roed,Radikale Venstre,Østjyllands Storkreds,ukendt,
Hans Andersen,Venstre,Nordsjællands Storkreds,ja,https://www.tiktok.com/@hansandersenvenstre
Hans Biering Fonsbøl,Alternativet,Sydjyllands Storkreds,ukendt,
Hans Blaaberg,Dansk Folkeparti,Københavns Omegns Storkreds,ukendt,
Hans Jensen,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds,nej,
Hans Jørgen Adamsen,Venstre,Nordjyllands Storkreds,ukendt,
Hans Kristian Skibby,Danmarksdemokraterne - Inger Støjberg,Østjyllands Storkreds,nej,
Hans Skou,Venstre,Østjyllands Storkreds,ukendt,
Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,ja,https://www.tiktok.com/@hediyedptemiz
Helena Artmann Andresen,Liberal Alliance,Sydjyllands Storkreds,ja,https://www.tiktok.com/@helenaartmann
Helena Hedegaard Udsen,Enhedslisten - De Rød-Grønne,Sjællands Storkreds,ja,https://www.tiktok.com/@helena_hedegaard_
Helena Tjørnelund Christensen,Radikale Venstre,Sjællands Storkreds,ukendt,
Helene Brochmann,SF - Socialistisk Folkeparti,Københavns Omegns Storkreds,ukendt,
Helene Brydensholt,Alternativet,Nordsjællands Storkreds,ukendt,
Helene Fagerhøj,Det Konservative Folkeparti,Københavns Storkreds,ukendt,
Helene Hellesøe Appel,Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds,ukendt,
Helene Langager,Radikale Venstre,Københavns Storkreds,ukendt,
Helene Lykke,Liberal Alliance,Sydjyllands Storkreds,ja,https://www.tiktok.com/@hjal8
Helge Bo Jensen,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,ukendt,
Helge K. Frandsen,Borgernes Parti - Lars Boje Mathiesen,Vestjyllands Storkreds,ukendt,
Helle Bonnesen,Det Konservative Folkeparti,Københavns Storkreds,ukendt,
Helle Jensen,Liberal Alliance,Vestjyllands Storkreds,nej,
Helle Munk Ravnborg,Enhedslisten - De Rød-Grønne,Bornholms Storkreds,ukendt,
Henning Bo Madsen,Enhedslisten - De Rød-Grønne,Vestjyllands Storkreds,ukendt,
Henning Jørgensen,SF - Socialistisk Folkeparti,Nordjyllands Storkreds,ukendt,
Henning Lindberg,Enhedslisten - De Rød-Grønne,Vestjyllands Storkreds,ukendt,
Henrik B. Dynesen,Liberal Alliance,Sjællands Storkreds,ukendt,
Henrik Brodersen,Dansk Folkeparti,Sjællands Storkreds,nej,
Henrik Frandsen,Moderaterne,Sydjyllands Storkreds,ukendt,
Henrik Jacobsen,Det Konservative Folkeparti,Sjællands Storkreds,ukendt,
Henrik Møller,Socialdemokratiet,Nordsjællands Storkreds,ukendt,
Henrik Rejnholt Andersen,Venstre,Østjyllands Storkreds,ukendt,
Holly Marie Turner,Enhedslisten - De Rød-Grønne,Sydjyllands Storkreds,ja,https://www.tiktok.com/@hollymarieturner
Ib Poulsen,Borgernes Parti - Lars Boje Mathiesen,Nordjyllands Storkreds,ukendt,
Iben Forum Jeppesen,Liberal Alliance,Vestjyllands Storkreds,ukendt,
Iben Krog,Venstre,Sjællands Storkreds,ja,https://www.tiktok.com/@iben__krog
Ibrahim Benli,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,ja,https://www.tiktok.com/@ibrahimbenli4
Ida Auken,Socialdemokratiet,Københavns Storkreds,ja,https://www.tiktok.com/@idaauken
Ida Dyhr,Det Konservative Folkeparti,Sjællands Storkreds,ukendt,
Ina Juul Jensen,SF - Socialistisk Folkeparti,Sydjyllands Storkreds,nej,
Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,ja,https://www.tiktok.com/@ingerstojberg
Ingrid Heintz,Alternativet,Nordsjællands Storkreds,ukendt,
Isabel Havndrup Aackmann,Radikale Venstre,Københavns Omegns Storkreds,ja,https://www.tiktok.com/@havndrup
Isabella Apelroth,Alternativet,Sjællands Storkreds,ukendt,
Isabella Arendt,Det Konservative Folkeparti,Københavns Omegns Storkreds,ukendt,
Jacob Abildgaard,Enhedslisten - De Rød-Grønne,Vestjyllands Storkreds,ukendt,
Jacob Antvorskov,Alternativet,Sjællands Storkreds,ukendt,
Jacob Bentsen,Dansk Folkeparti,Sjællands Storkreds,ukendt,
Jacob Harris,Borgernes Parti - Lars Boje Mathiesen,Sjællands Storkreds,ja,https://www.tiktok.com/@jacob.harris.borg
Jacob Holm,Alternativet,Fyns Storkreds,ukendt,
Jacob Jensen,Venstre,Sjællands Storkreds,nej,
Jacob Mark,SF - Socialistisk Folkeparti,Nordsjællands Storkreds,nej,
Jacob Robsøe,Radikale Venstre,Nordjyllands Storkreds,ukendt,
Jacob Skjærris,Det Konservative Folkeparti,Østjyllands Storkreds,ukendt,
Jacob Stryhn,Det Konservative Folkeparti,Sjællands Storkreds,ukendt,
Jacqueline Kristensen,Liberal Alliance,Københavns Omegns Storkreds,ukendt,
Jakob Engel-Schmidt,Moderaterne,Københavns Storkreds,ja,https://www.tiktok.com/@jakobengelschmidt
Jakob Jensen,Enhedslisten - De Rød-Grønne,Østjyllands Storkreds,nej,
Jakob Larsen,Radikale Venstre,Fyns Storkreds,ja,https://www.tiktok.com/@jakob.larsen.rv
Jakob Ravn Karlsen,Alternativet,Københavns Storkreds,ukendt,
Jakob Venø Heiwald,Danmarksdemokraterne - Inger Støjberg,Sydjyllands Storkreds,ukendt,
Jan Carlsen,Moderaterne,Sjællands Storkreds,nej,
Jan E. Jørgensen,Venstre,Københavns Storkreds,nej,
Jan Herskov,Dansk Folkeparti,Sjællands Storkreds,ukendt,
