candidate_key,candidate_name,party_name,storkreds,age_num,education,tiktok_exists,candidate_votes_total_2026,party_votes_total_2026,vote_share_of_party_total_2026,videos_last_7d,videos_last_14d,videos_last_30d,videos_last_90d,videos_total_2026,prior_vote_share_of_party_2022,prior_party_rank_2022
Malene Sandfeld || Venstre || københavn,Malene Sandfeld,Venstre,københavn,0.0,Bachelor-/diplomuddannelse,1,348,235636,0.001476854130947733,0.0,0.0,0.0,0.0,2.0,,
Malte Jäger || Liberal Alliance || fyn,Malte Jäger,Liberal Alliance,fyn,0.0,Bachelor-/diplomuddannelse,1,1656,117371,0.014109107019621541,6.0,10.0,20.0,20.0,37.0,,
Malte Larsen || Dansk Folkeparti || sjælland,Malte Larsen,Dansk Folkeparti,sjælland,0.0,Kandidat-/masteruddannelse,0,1036,126849,0.008167190912029262,0.0,0.0,0.0,0.0,0.0,,
Malte Larsen || Socialdemokratiet || østjylland,Malte Larsen,Socialdemokratiet,østjylland,0.0,Seminaruddannelse,1,4365,369428,0.011815563519819829,7.0,17.0,33.0,46.0,50.0,0.017716325511171978,20.0
Marcus Bech Pedersen || Alternativet || østjylland,Marcus Bech Pedersen,Alternativet,østjylland,0.0,Gymnasial uddannelse,0,28,44532,0.000628761340159885,0.0,0.0,0.0,0.0,0.0,,
Marcus Danielsson || Venstre || sjælland,Marcus Danielsson,Venstre,sjælland,0.0,Kandidat-/masteruddannelse,1,364,235636,0.0015447554703016517,1.0,4.0,6.0,9.0,18.0,0.0018904872578448446,35.0
Marcus Juul Grønbæk || Danmarksdemokraterne - Inger Støjberg || vestjylland,Marcus Juul Grønbæk,Danmarksdemokraterne - Inger Støjberg,vestjylland,0.0,Bachelor-/diplomuddannelse,0,597,75770,0.007879107826316484,0.0,0.0,0.0,0.0,0.0,,
Marcus Knuth || Det Konservative Folkeparti || sjælland,Marcus Knuth,Det Konservative Folkeparti,sjælland,0.0,Kandidat-/masteruddannelse,0,4394,133656,0.0328754414317352,0.0,0.0,0.0,0.0,0.0,,
Marcus Vesterager || Socialdemokratiet || københavn,Marcus Vesterager,Socialdemokratiet,københavn,0.0,Kandidat-/masteruddannelse,0,509,369428,0.0013778056887945689,0.0,0.0,0.0,0.0,0.0,,
Maria Dalum || Alternativet || fyn,Maria Dalum,Alternativet,fyn,0.0,Kandidat-/masteruddannelse,0,315,44532,0.007073565076798707,0.0,0.0,0.0,0.0,0.0,,
Maria Durhuus || Socialdemokratiet || københavns omegn,Maria Durhuus,Socialdemokratiet,københavns omegn,0.0,Bachelor-/diplomuddannelse,1,2836,369428,0.0076767326786275,4.0,6.0,7.0,15.0,21.0,0.007341344453861222,42.0
Maria Enemark || Borgernes Parti - Lars Boje Mathiesen || vestjylland,Maria Enemark,Borgernes Parti - Lars Boje Mathiesen,vestjylland,0.0,Ikke oplyst,0,321,22238,0.014434751326558144,0.0,0.0,0.0,0.0,0.0,,
Maria Georgi Sloth || Radikale Venstre || københavn,Maria Georgi Sloth,Radikale Venstre,københavn,0.0,Bachelor-/diplomuddannelse,1,1630,100983,0.016141330719031916,7.0,11.0,23.0,32.0,32.0,,
Maria Gudme || Socialdemokratiet || fyn,Maria Gudme,Socialdemokratiet,fyn,0.0,Bachelor-/diplomuddannelse,0,1160,369428,0.003139989389001375,0.0,0.0,0.0,0.0,0.0,,
Maria Ladegaard || Venstre || københavns omegn,Maria Ladegaard,Venstre,københavns omegn,0.0,Bachelor-/diplomuddannelse,0,568,235636,0.002410497547064116,0.0,0.0,0.0,0.0,0.0,,
Maria Radoor || Socialdemokratiet || sydjylland,Maria Radoor,Socialdemokratiet,sydjylland,0.0,Kandidat-/masteruddannelse,0,2763,369428,0.007479129898112758,0.0,0.0,0.0,0.0,0.0,,
Maria Sofie Petersen || Enhedslisten - De Rød-Grønne || københavn,Maria Sofie Petersen,Enhedslisten - De Rød-Grønne,københavn,0.0,Bachelor-/diplomuddannelse,0,478,86659,0.00551587255795705,0.0,0.0,0.0,0.0,0.0,,
Maria Sørensen || Enhedslisten - De Rød-Grønne || østjylland,Maria Sørensen,Enhedslisten - De Rød-Grønne,østjylland,0.0,Bachelor-/diplomuddannelse,0,619,86659,0.007142939567730992,0.0,0.0,0.0,0.0,0.0,,
Maria Temponeras || Enhedslisten - De Rød-Grønne || østjylland,Maria Temponeras,Enhedslisten - De Rød-Grønne,østjylland,0.0,Kandidat-/masteruddannelse,0,1583,86659,0.01826700054235567,0.0,0.0,0.0,0.0,0.0,,
Mariane Lunden || Alternativet || nordsjælland,Mariane Lunden,Alternativet,nordsjælland,0.0,Ikke oplyst,0,47,44532,0.001055420820982664,0.0,0.0,0.0,0.0,0.0,0.0023675431359184993,22.0
Marianne Bigum || SF - Socialistisk Folkeparti || nordsjælland,Marianne Bigum,SF - Socialistisk Folkeparti,nordsjælland,0.0,Ph.d.-uddannelse,1,2384,180086,0.013238119565096676,0.0,0.0,0.0,0.0,0.0,0.03754588498164601,9.0
Marianne Karlsmose || Det Konservative Folkeparti || vestjylland,Marianne Karlsmose,Det Konservative Folkeparti,vestjylland,0.0,Kandidat-/masteruddannelse,0,2875,133656,0.02151044472376848,0.0,0.0,0.0,0.0,0.0,,
Marianne Lynghøj || Venstre || nordsjælland,Marianne Lynghøj,Venstre,nordsjælland,0.0,Kandidat-/masteruddannelse,0,1829,235636,0.0077619718548948375,0.0,0.0,0.0,0.0,0.0,0.016797555240850786,19.0
Marianne Mortensen || Radikale Venstre || københavn,Marianne Mortensen,Radikale Venstre,københavn,0.0,Kandidat-/masteruddannelse,0,229,100983,0.0022677084261707417,0.0,0.0,0.0,0.0,0.0,,
Marie Bjerre || Venstre || nordjylland,Marie Bjerre,Venstre,nordjylland,0.0,Kandidat-/masteruddannelse,0,15319,235636,0.06501128859766758,0.0,0.0,0.0,0.0,0.0,0.06602475928473177,4.0
Marie Brixtofte || Venstre || københavns omegn,Marie Brixtofte,Venstre,københavns omegn,0.0,Kandidat-/masteruddannelse,0,2827,235636,0.01199731789709552,0.0,0.0,0.0,0.0,0.0,,
Marie Wandel || Radikale Venstre || nordjylland,Marie Wandel,Radikale Venstre,nordjylland,0.0,Ph.d.-uddannelse,0,280,100983,0.0027727439271956664,0.0,0.0,0.0,0.0,0.0,,
Mark Hellerup || Liberal Alliance || nordjylland,Mark Hellerup,Liberal Alliance,nordjylland,0.0,Kandidat-/masteruddannelse,0,172,117371,0.0014654386517964403,0.0,0.0,0.0,0.0,0.0,,
Marlene Ambo-Rasmussen || Venstre || fyn,Marlene Ambo-Rasmussen,Venstre,fyn,0.0,Bachelor-/diplomuddannelse,1,4791,235636,0.02033220730278905,0.0,0.0,0.0,0.0,0.0,0.025972177990391716,15.0
